psgc10,name,province,pop2000,pop2010,pop2015,pop2020,g_2000_2010,g_2010_2015,g_2015_2020,residual_rate_2020_2024
0807801000,Almeria,Biliran,13854.0,16495.0,16951.0,17954.0,1.76,0.52,1.22,5.65
0807802000,Biliran,Biliran,13817.0,16183.0,16882.0,17662.0,1.59,0.81,0.96,6.09
0807803000,Cabucgayan,Biliran,17691.0,19621.0,20788.0,21542.0,1.04,1.11,0.75,-1.15
0807804000,Caibiran,Biliran,19606.0,21473.0,22524.0,24167.0,0.91,0.91,1.49,-6.49
0807805000,Culaba,Biliran,11506.0,12252.0,12325.0,12972.0,0.63,0.11,1.08,1.38
0807806000,Kawayan,Biliran,17507.0,20238.0,20291.0,20455.0,1.46,0.05,0.17,6.41
0807807000,Maripipi,Biliran,8319.0,6699.0,7159.0,6373.0,-2.14,1.27,-2.42,-11.95
0807808000,Naval ,Biliran,37974.0,48799.0,54692.0,58187.0,2.54,2.2,1.31,-4.47
0802601000,Arteche,Eastern Samar,13024.0,15164.0,16026.0,16360.0,1.53,1.06,0.44,-3.43
0802602000,Balangiga,Eastern Samar,10662.0,12756.0,14085.0,14341.0,1.81,1.91,0.38,-4.53
0802603000,Balangkayan,Eastern Samar,8134.0,9046.0,10125.0,10185.0,1.07,2.17,0.12,-8.78
0802604000,City of Borongan ,Eastern Samar,55141.0,64457.0,69297.0,71961.0,1.57,1.39,0.8,-7.71
0802605000,Can-Avid,Eastern Samar,17228.0,19785.0,21015.0,21682.0,1.39,1.16,0.66,-6.51
0802606000,Dolores,Eastern Samar,32812.0,37912.0,42866.0,44626.0,1.46,2.37,0.85,-8.67
0802607000,General Macarthur,Eastern Samar,10452.0,12214.0,14550.0,14411.0,1.57,3.39,-0.2,-3.57
0802608000,Giporlos,Eastern Samar,10218.0,12040.0,13308.0,13117.0,1.65,1.93,-0.3,-8.19
0802609000,Guiuan,Eastern Samar,38694.0,47037.0,52991.0,53361.0,1.97,2.3,0.15,-9.08
0802610000,Hernani,Eastern Samar,7642.0,8070.0,8573.0,8531.0,0.55,1.16,-0.1,-8.89
0802611000,Jipapad,Eastern Samar,6596.0,7397.0,7885.0,8439.0,1.15,1.22,1.44,1.16
0802612000,Lawaan,Eastern Samar,9855.0,11612.0,12742.0,13003.0,1.65,1.78,0.43,-5.14
0802613000,Llorente,Eastern Samar,19336.0,19101.0,20149.0,21459.0,-0.12,1.02,1.33,-33.3
0802614000,Maslog,Eastern Samar,4009.0,4781.0,5407.0,5463.0,1.78,2.37,0.22,-12.17
0802615000,Maydolong,Eastern Samar,11741.0,13614.0,14743.0,15314.0,1.49,1.53,0.8,-7.41
0802616000,Mercedes,Eastern Samar,4857.0,5369.0,6070.0,6112.0,1.01,2.36,0.15,-2.72
0802617000,Oras,Eastern Samar,31315.0,34760.0,36540.0,37451.0,1.05,0.96,0.52,-15.19
0802618000,Quinapondan,Eastern Samar,11721.0,13841.0,14779.0,14507.0,1.68,1.26,-0.39,-3.29
0802619000,Salcedo,Eastern Samar,16971.0,19970.0,22532.0,22136.0,1.64,2.33,-0.37,-11.5
0802620000,San Julian,Eastern Samar,12383.0,13748.0,14498.0,14800.0,1.05,1.02,0.43,-9.0
0802621000,San Policarpo,Eastern Samar,12403.0,13836.0,14687.0,15365.0,1.1,1.14,0.95,-1.44
0802622000,Sulat,Eastern Samar,14193.0,15184.0,15377.0,15758.0,0.68,0.24,0.52,-3.02
0802623000,Taft,Eastern Samar,16435.0,17183.0,18915.0,18786.0,0.45,1.85,-0.14,-9.28
0803701000,Abuyog,Leyte,53837.0,57146.0,59571.0,61216.0,0.6,0.79,0.58,0.34
0803702000,Alangalang,Leyte,41245.0,46411.0,55235.0,57185.0,1.19,3.37,0.73,2.81
0803703000,Albuera,Leyte,34335.0,40553.0,46332.0,47151.0,1.68,2.57,0.37,-7.58
0803705000,Babatngon,Leyte,21110.0,25575.0,27797.0,28823.0,1.94,1.6,0.77,-4.58
0803706000,Barugo,Leyte,26919.0,30092.0,32745.0,34497.0,1.12,1.62,1.1,-1.37
0803707000,Bato,Leyte,32974.0,35610.0,38356.0,38505.0,0.77,1.43,0.08,-2.31
0803708000,City of Baybay,Leyte,95630.0,102841.0,109432.0,111848.0,0.73,1.19,0.46,1.41
0803710000,Burauen,Leyte,47180.0,48853.0,52732.0,52511.0,0.35,1.47,-0.09,2.13
0803713000,Calubian,Leyte,28421.0,29619.0,31228.0,31646.0,0.41,1.01,0.28,-1.59
0803714000,Capoocan,Leyte,27593.0,29834.0,33617.0,33721.0,0.78,2.3,0.07,-1.39
0803715000,Carigara,Leyte,43455.0,47444.0,51345.0,54656.0,0.88,1.52,1.32,-0.96
0803717000,Dagami,Leyte,29240.0,31490.0,35147.0,36178.0,0.74,2.11,0.61,-3.5
0803718000,Dulag,Leyte,38897.0,41757.0,47300.0,48992.0,0.71,2.4,0.74,2.99
0803719000,Hilongos,Leyte,51462.0,56803.0,63431.0,64514.0,0.99,2.12,0.36,2.77
