psgc10,name,province,pop2000,pop2010,pop2015,pop2020,g_2000_2010,g_2010_2015,g_2015_2020,residual_rate_2020_2024
1003501000,Bacolod,Lanao del Norte,17020.0,21818.0,23034.0,24367.0,2.51,1.04,1.19,0.53
1003502000,Baloi,Lanao del Norte,38534.0,50387.0,58383.0,68465.0,2.72,2.85,3.41,11.47
1003503000,Baroy,Lanao del Norte,20392.0,20948.0,22600.0,24683.0,0.27,1.46,1.87,-5.13
1003505000,Kapatagan,Lanao del Norte,42783.0,53916.0,62853.0,62571.0,2.34,2.96,-0.09,27.33
1003506000,Sultan Naga Dimaporo,Lanao del Norte,41865.0,52430.0,56764.0,60904.0,2.28,1.52,1.49,5.04
1003507000,Kauswagan,Lanao del Norte,15364.0,24006.0,26278.0,24193.0,4.56,1.74,-1.73,3.6
1003508000,Kolambugan,Lanao del Norte,24180.0,26445.0,27005.0,28265.0,0.9,0.4,0.96,-3.77
1003509000,Lala,Lanao del Norte,56447.0,65355.0,67727.0,73425.0,1.48,0.68,1.72,-3.46
1003510000,Linamon,Lanao del Norte,14959.0,17484.0,20341.0,21269.0,1.57,2.92,0.94,-3.99
1003511000,Magsaysay,Lanao del Norte,11218.0,16442.0,19019.0,20463.0,3.9,2.81,1.55,-3.4
1003512000,Maigo,Lanao del Norte,17826.0,20131.0,21666.0,23337.0,1.22,1.41,1.58,-7.28
1003513000,Matungao,Lanao del Norte,9266.0,12217.0,13975.0,14756.0,2.8,2.59,1.15,12.8
1003514000,Munai,Lanao del Norte,15972.0,27600.0,32973.0,35020.0,5.62,3.45,1.28,3.73
1003515000,Nunungan,Lanao del Norte,12205.0,16304.0,18367.0,18827.0,2.94,2.3,0.52,-3.47
1003516000,Pantao Ragat,Lanao del Norte,16474.0,23122.0,27866.0,30247.0,3.45,3.62,1.74,15.1
1003517000,Poona Piagapo,Lanao del Norte,16092.0,23451.0,27018.0,29183.0,3.84,2.73,1.64,4.39
1003518000,Salvador,Lanao del Norte,17055.0,27348.0,31845.0,32115.0,4.84,2.94,0.18,6.48
1003519000,Sapad,Lanao del Norte,15167.0,19479.0,21309.0,22974.0,2.53,1.73,1.6,9.09
1003520000,Tagoloan,Lanao del Norte,8233.0,11674.0,13253.0,15091.0,3.55,2.45,2.77,10.52
1003521000,Tangcal,Lanao del Norte,6117.0,12588.0,15181.0,16075.0,7.48,3.63,1.21,7.08
1003522000,Tubod ,Lanao del Norte,43067.0,46332.0,47165.0,50073.0,0.73,0.34,1.27,-5.67
1003523000,Pantar,Lanao del Norte,12826.0,18440.0,21773.0,26599.0,3.7,3.22,4.3,1.43
1030900000,City of Iligan,Region X (Northern Mindanao),285061.0,322821.0,342618.0,363115.0,1.25,1.14,1.23,-3.64
1903601000,Bacolod-Kalawi,Lanao del Sur,17761.0,18555.0,20841.0,23129.0,0.44,2.24,2.22,10.69
1903602000,Balabagan,Lanao del Sur,24558.0,25139.0,26819.0,29863.0,0.23,1.24,2.29,4.78
1903603000,Balindong,Lanao del Sur,24470.0,26007.0,29180.0,32573.0,0.61,2.22,2.34,42.56
1903604000,Bayang,Lanao del Sur,21020.0,21472.0,23965.0,28023.0,0.21,2.11,3.35,16.34
1903605000,Binidayan,Lanao del Sur,18081.0,19493.0,22079.0,25965.0,0.75,2.4,3.47,7.42
1903606000,Bubong,Lanao del Sur,19003.0,19455.0,22336.0,26514.0,0.24,2.67,3.68,12.31
1903607000,Butig,Lanao del Sur,16283.0,16642.0,19302.0,22768.0,0.22,2.86,3.54,20.49
1903609000,Ganassi,Lanao del Sur,18947.0,20205.0,23016.0,30802.0,0.64,2.51,6.33,21.8
1903610000,Kapai,Lanao del Sur,16564.0,17370.0,18894.0,20581.0,0.48,1.61,1.82,9.54
1903611000,Lumba-Bayabao,Lanao del Sur,23521.0,32412.0,36151.0,45909.0,3.26,2.1,5.16,22.66
1903612000,Lumbatan,Lanao del Sur,13318.0,16719.0,19105.0,22780.0,2.3,2.57,3.77,19.69
