gkey,net,p0,p1,rate,sci_share_to_core
abra,1504.6,241160.0,250985.0,1.2873,0.0306
agusandelnorte,37079.8,691566.0,760413.0,10.7526,0.0298
agusandelsur,688.6,700653.0,739367.0,0.2013,0.0256
aklan,15440.2,574823.0,615475.0,5.4618,0.0645
albay,-14072.7,1314826.0,1374768.0,-2.2031,0.1029
antique,14900.3,582012.0,612974.0,5.2501,0.0654
apayao,-785.6,119184.0,124366.0,-1.3582,0.0191
aurora,9224.6,214336.0,235750.0,8.6296,0.0678
basilan,85638.4,459367.0,556586.0,35.4921,0.0156
bataan,45590.7,760650.0,853373.0,11.8933,0.0772
batanes,1007.4,17246.0,18831.0,11.7573,0.0932
batangas,83949.2,2694335.0,2908494.0,6.3088,0.1381
benguet,-11913.9,791590.0,827041.0,-3.0991,0.0179
biliran,-1341.3,171612.0,179312.0,-1.6093,0.0707
bohol,22080.7,1313560.0,1394329.0,3.4334,0.0589
bukidnon,18989.4,1415226.0,1541308.0,2.7044,0.0261
bulacan,261156.6,3292071.0,3708890.0,15.7065,0.1022
cagayan,22172.7,1199320.0,1268603.0,3.7829,0.034
camarinesnorte,5762.7,583313.0,629699.0,2.0003,0.1233
camarinessur,-6196.1,1952544.0,2068244.0,-0.6488,0.1199
camiguin,96.2,88478.0,92808.0,0.2234,0.0299
capiz,15763.1,761384.0,804952.0,4.2373,0.0733
catanduanes,-5587.2,260964.0,271879.0,-4.415,0.1376
cavite,467902.6,3678301.0,4344829.0,24.5555,0.0914
cebu,205653.7,4632359.0,5151274.0,8.8506,0.0378
davaodelnorte,48301.1,1016332.0,1125057.0,9.4972,0.0303
davaodelsur,58242.1,2265579.0,2457430.0,5.1922,0.0288
davaooriental,-8259.2,558958.0,576343.0,-3.0631,0.0301
dinagatislands,-2147.0,127152.0,128117.0,-3.5414,0.022
easternsamar,-12978.9,467160.0,477168.0,-5.787,0.0934
guimaras,5577.5,174613.0,187842.0,6.4792,0.037
ifugao,-8422.4,202802.0,207498.0,-8.6431,0.0074
ilocosnorte,-1007.2,593081.0,609588.0,-0.3526,0.0407
ilocossur,-5289.9,689668.0,706009.0,-1.5959,0.0325
iloilo,42582.9,2384415.0,2509525.0,3.6636,0.0393
isabela,27788.0,1593566.0,1697050.0,3.5556,0.0334
kalinga,3600.0,212680.0,229570.0,3.4274,0.0142
laguna,186949.2,3035081.0,3382193.0,12.2662,0.0982
lanaodelnorte,14159.4,1019013.0,1086017.0,2.8322,0.0286
lanaodelsur,118077.4,1045429.0,1195518.0,22.1856,0.04
launion,7299.0,786653.0,822352.0,1.91,0.0438
leyte,-39637.7,1966768.0,2028728.0,-4.1771,0.0566
marinduque,-5128.4,234521.0,239207.0,-4.5582,0.1808
masbate,-33629.7,892393.0,908920.0,-7.8609,0.109
metropolitanmanila,-58373.4,12877253.0,13484462.0,-0.9323,0.1085
misamisoccidental,-12368.8,602126.0,617333.0,-4.2707,0.0352
misamisoriental,23038.6,1564459.0,1685302.0,2.985,0.0245
mountainprovince,-4115.1,154590.0,158200.0,-5.5394,0.0088
negrosoccidental,59766.2,3059136.0,3223955.0,4.0051,0.0676
negrosoriental,10730.6,1354995.0,1432990.0,1.6206,0.0442
northernsamar,-18740.5,632379.0,639186.0,-6.2055,0.0887
nuevaecija,71723.6,2151461.0,2310134.0,6.7687,0.0866
nuevavizcaya,16605.4,452287.0,497432.0,7.3619,0.0159
occidentalmindoro,11303.4,487414.0,525354.0,4.6993,0.0772
orientalmindoro,23719.4,844059.0,908339.0,5.6991,0.0917
palawan,86503.2,1104585.0,1246673.0,15.4906,0.0546
pampanga,135027.1,2609744.0,2900637.0,10.3175,0.123
pangasinan,66540.3,2956726.0,3163190.0,4.578,0.0805
quezon,4453.4,2122830.0,2229383.0,0.4308,0.1551
quirino,3449.9,188991.0,203828.0,3.6979,0.0152
rizal,275903.1,2884227.0,3330143.0,18.6937,0.1055
romblon,4600.2,292781.0,308985.0,3.2187,0.1066
samar,-25361.8,780481.0,793183.0,-6.7859,0.0686
sarangani,-16979.2,544261.0,558946.0,-6.4803,0.0219
siquijor,4966.0,95984.0,103395.0,10.4873,0.0353
sorsogon,-8732.9,792949.0,828655.0,-2.2675,0.1153
southcotabato,70489.2,1509735.0,1672791.0,9.3258,0.0251
southernleyte,-4475.4,421750.0,429573.0,-2.2135,0.0724
sultankudarat,3097.7,812095.0,854052.0,0.7828,0.0297
sulu,162801.1,824731.0,1000108.0,37.5638,0.0076
surigaodelnorte,28275.6,485088.0,534636.0,11.6752,0.0227
surigaodelsur,14666.3,592250.0,642255.0,5.0022,0.0355
tarlac,74946.7,1366027.0,1503456.0,10.9973,0.0743
tawitawi,41256.5,390715.0,440276.0,20.9041,0.0082
zambales,42337.5,823888.0,909932.0,10.2815,0.0692
zamboangadelnorte,-13657.8,1011393.0,1047455.0,-2.7931,0.0345
zamboangadelsur,50201.8,1872473.0,2027902.0,5.4194,0.0219
zamboangasibugay,547.6,633129.0,669840.0,0.177,0.0295
