unit_id,unit_name,region,period,pop_start,pop_end,births_est,deaths_est,natural_increase,net_migration,netmig_rate_per_1000_yr,flag
0731300000,City of Mandaue,Region VII (Central Visayas),2015-2020,362654.0,364116.0,35859.9,8793.4,27066.5,-25604.5,-14.83,
1380900000,City of Navotas,National Capital Region (NCR),2015-2020,249463.0,247543.0,19859.5,8000.7,11858.7,-13778.7,-11.67,
1381300000,Quezon City,National Capital Region (NCR),2015-2020,2936116.0,2960048.0,230045.1,79727.7,150317.4,-126385.4,-9.03,
14027,Ifugao,Cordillera Administrative Region (CAR),2015-2020,202802.0,207498.0,17098.5,3980.2,13118.4,-8422.4,-8.64,
05041,Masbate,Region V (Bicol Region),2015-2020,892393.0,908920.0,71266.3,21109.6,50156.7,-33629.7,-7.86,
1380700000,City of Marikina,National Capital Region (NCR),2015-2020,450741.0,456059.0,36465.2,15040.0,21425.1,-16107.1,-7.48,
08060,Samar,Region VIII (Eastern Visayas),2015-2020,780481.0,793183.0,55469.6,17405.8,38063.8,-25361.8,-6.79,
12080,Sarangani,Region XII (SOCCSKSARGEN),2015-2020,544261.0,558946.0,42076.6,10412.4,31664.2,-16979.2,-6.48,
08048,Northern Samar,Region VIII (Eastern Visayas),2015-2020,632379.0,639186.0,41434.2,15886.7,25547.5,-18740.5,-6.21,
08026,Eastern Samar,Region VIII (Eastern Visayas),2015-2020,467160.0,477168.0,32779.3,9792.5,22986.9,-12978.9,-5.79,
14044,Mountain Province,Cordillera Administrative Region (CAR),2015-2020,154590.0,158200.0,11892.9,4167.8,7725.1,-4115.1,-5.54,
14011,Benguet,Cordillera Administrative Region (CAR),2015-2020,446224.0,460683.0,34777.7,9197.2,25580.6,-11121.6,-5.16,
0730600000,City of Cebu ,Region VII (Central Visayas),2015-2020,922611.0,964169.0,94511.6,32354.9,62156.7,-20598.7,-4.6,
17040,Marinduque,MIMAROPA Region,2015-2020,234521.0,239207.0,17632.0,7817.6,9814.4,-5128.4,-4.56,
08037,Leyte,Region VIII (Eastern Visayas),2015-2020,1724679.0,1776847.0,137462.7,48395.7,89067.0,-36899.0,-4.44,
05020,Catanduanes,Region V (Bicol Region),2015-2020,260964.0,271879.0,24989.7,8487.6,16502.2,-5587.2,-4.41,
1380200000,City of Las Piñas,National Capital Region (NCR),2015-2020,588894.0,606293.0,47020.3,17234.9,29785.4,-12386.4,-4.36,
10042,Misamis Occidental,Region X (Northern Mindanao),2015-2020,602126.0,617333.0,48352.4,20776.6,27575.8,-12368.8,-4.27,
11086,Davao Occidental,Region XI (Davao Region),2015-2020,316342.0,317159.0,11840.1,5101.7,6738.5,-5921.5,-3.94,
09073,Zamboanga del Sur,Region IX (Zamboanga Peninsula),2015-2020,1010674.0,1050668.0,80366.9,22615.3,57751.6,-17757.6,-3.63,
16085,Dinagat Islands,Region XIII (Caraga),2015-2020,127152.0,128117.0,6300.8,3188.8,3112.0,-2147.0,-3.54,
11025,Davao Oriental,Region XI (Davao Region),2015-2020,558958.0,576343.0,41727.5,16083.3,25644.2,-8259.2,-3.06,
1381000000,City of Parañaque,National Capital Region (NCR),2015-2020,665822.0,689992.0,51555.8,17818.3,33737.4,-9567.4,-2.97,
1380600000,City of Manila,National Capital Region (NCR),2015-2020,1780148.0,1846513.0,150028.4,58762.5,91265.9,-24900.9,-2.89,
1381701000,Pateros,National Capital Region (NCR),2015-2020,63840.0,65227.0,4293.8,2028.1,2265.7,-878.7,-2.87,
09072,Zamboanga del Norte,Region IX (Zamboanga Peninsula),2015-2020,1011393.0,1047455.0,75168.7,25448.9,49719.8,-13657.8,-2.79,
11082,Davao de Oro,Region XI (Davao Region),2015-2020,736107.0,767547.0,61355.1,20475.6,40879.5,-9439.5,-2.64,
0631000000,City of Iloilo ,Region VI (Western Visayas),2015-2020,447992.0,457626.0,30614.7,15627.6,14987.1,-5353.1,-2.49,
0831600000,City of Tacloban ,Region VIII (Eastern Visayas),2015-2020,242089.0,251881.0,18533.2,6002.6,12530.7,-2738.7,-2.33,
05062,Sorsogon,Region V (Bicol Region),2015-2020,792949.0,828655.0,69164.3,24725.4,44438.9,-8732.9,-2.27,
08064,Southern Leyte,Region VIII (Eastern Visayas),2015-2020,421750.0,429573.0,26698.3,14399.9,12298.4,-4475.4,-2.21,
05005,Albay,Region V (Bicol Region),2015-2020,1314826.0,1374768.0,115998.1,41983.4,74014.7,-14072.7,-2.2,
08078,Biliran,Region VIII (Eastern Visayas),2015-2020,171612.0,179312.0,14490.9,5449.6,9041.3,-1341.3,-1.61,
01029,Ilocos Sur,Region I (Ilocos Region),2015-2020,689668.0,706009.0,44646.9,23016.0,21630.9,-5289.9,-1.6,
14081,Apayao,Cordillera Administrative Region (CAR),2015-2020,119184.0,124366.0,8559.1,2591.5,5967.6,-785.6,-1.36,
1380100000,City of Caloocan,National Capital Region (NCR),2015-2020,1583978.0,1661584.0,130760.1,42889.6,87870.5,-10264.5,-1.33,
0431200000,City of Lucena ,Region IV-A (CALABARZON),2015-2020,266248.0,278924.0,23318.7,9597.0,13721.6,-1045.6,-0.81,
1380400000,City of Malabon,National Capital Region (NCR),2015-2020,365525.0,380522.0,27696.6,11458.8,16237.8,-1240.8,-0.7,
05017,Camarines Sur,Region V (Bicol Region),2015-2020,1952544.0,2068244.0,181360.6,59464.5,121896.1,-6196.1,-0.65,
1430300000,City of Baguio,Cordillera Administrative Region (CAR),2015-2020,345366.0,366358.0,29844.3,8059.9,21784.3,-792.3,-0.47,
01028,Ilocos Norte,Region I (Ilocos Region),2015-2020,593081.0,609588.0,38799.9,21285.7,17514.2,-1007.2,-0.35,
1381400000,City of San Juan,National Capital Region (NCR),2015-2020,122180.0,126347.0,7867.6,3793.6,4074.0,93.0,0.16,
09083,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2015-2020,633129.0,669840.0,48618.9,12455.5,36163.4,547.6,0.18,
16003,Agusan del Sur,Region XIII (Caraga),2015-2020,700653.0,739367.0,54098.0,16072.6,38025.4,688.6,0.2,
10018,Camiguin,Region X (Northern Mindanao),2015-2020,88478.0,92808.0,7189.0,2955.2,4233.8,96.2,0.22,
1381200000,City of Pasig,National Capital Region (NCR),2015-2020,755300.0,803159.0,66361.7,20173.8,46187.9,1671.1,0.45,
04056,Quezon,Region IV-A (CALABARZON),2015-2020,1856582.0,1950459.0,142799.1,54421.1,88378.0,5499.0,0.61,
12065,Sultan Kudarat,Region XII (SOCCSKSARGEN),2015-2020,812095.0,854052.0,54947.4,16088.1,38859.3,3097.7,0.78,
1030500000,City of Cagayan De Oro ,Region X (Northern Mindanao),2015-2020,675950.0,728402.0,68398.1,19189.1,49209.0,3243.0,0.97,
14001,Abra,Cordillera Administrative Region (CAR),2015-2020,241160.0,250985.0,16256.3,7935.9,8320.4,1504.6,1.29,
18046,Negros Oriental,Negros Island Region (NIR),2015-2020,1354995.0,1432990.0,108486.6,41222.2,67264.4,10730.6,1.62,
1030900000,City of Iligan,Region X (Northern Mindanao),2015-2020,342618.0,363115.0,28148.4,10571.2,17577.1,2919.9,1.74,
01033,La Union,Region I (Ilocos Region),2015-2020,786653.0,822352.0,53824.6,25424.6,28400.0,7299.0,1.91,
05016,Camarines Norte,Region V (Bicol Region),2015-2020,583313.0,629699.0,58931.4,18308.2,40623.3,5762.7,2.0,
1381100000,Pasay City,National Capital Region (NCR),2015-2020,416522.0,440656.0,30244.5,11606.3,18638.3,5495.7,2.7,
10013,Bukidnon,Region X (Northern Mindanao),2015-2020,1415226.0,1541308.0,140873.0,33780.4,107092.6,18989.4,2.7,
18045,Negros Occidental,Negros Island Region (NIR),2015-2020,2497261.0,2623172.0,172415.1,79500.3,92914.8,32996.2,2.71,
17059,Romblon,MIMAROPA Region,2015-2020,292781.0,308985.0,21289.9,9686.1,11603.8,4600.2,3.22,
10035,Lanao del Norte,Region X (Northern Mindanao),2015-2020,676395.0,722902.0,47055.6,11788.1,35267.5,11239.5,3.38,
14032,Kalinga,Cordillera Administrative Region (CAR),2015-2020,212680.0,229570.0,17734.1,4444.1,13290.0,3600.0,3.43,
07012,Bohol,Region VII (Central Visayas),2015-2020,1313560.0,1394329.0,102256.3,43568.0,58688.3,22080.7,3.43,
12063,South Cotabato,Region XII (SOCCSKSARGEN),2015-2020,915289.0,975476.0,71435.7,26822.3,44613.4,15573.6,3.47,
02031,Isabela,Region II (Cagayan Valley),2015-2020,1593566.0,1697050.0,121567.0,45871.0,75696.0,27788.0,3.56,
02057,Quirino,Region II (Cagayan Valley),2015-2020,188991.0,203828.0,16047.6,4660.5,11387.1,3449.9,3.7,
02015,Cagayan,Region II (Cagayan Valley),2015-2020,1199320.0,1268603.0,84867.4,37757.1,47110.3,22172.7,3.78,
12047,Cotabato,Region XII (SOCCSKSARGEN),2015-2020,1379747.0,1490618.0,117308.9,32418.2,84890.6,25980.4,3.81,
