psgc10,psgc9,name,level,city_class,income_class,province,region,old_names
1380100000,137501000,City of Caloocan,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1380200000,137601000,City of Las Piñas,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1380300000,137602000,City of Makati,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1380400000,137502000,City of Malabon,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1380500000,137401000,City of Mandaluyong,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1380600000,133900000,City of Manila,City,HUC,Special,National Capital Region (NCR),National Capital Region (NCR),
1380700000,137402000,City of Marikina,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1380800000,137603000,City of Muntinlupa,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1380900000,137503000,City of Navotas,City,HUC,2nd,National Capital Region (NCR),National Capital Region (NCR),
1381000000,137604000,City of Parañaque,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1381100000,137605000,Pasay City,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1381200000,137403000,City of Pasig,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1381300000,137404000,Quezon City,City,HUC,Special,National Capital Region (NCR),National Capital Region (NCR),
1381400000,137405000,City of San Juan,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1381500000,137607000,City of Taguig,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1381600000,137504000,City of Valenzuela,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),
1381701000,137606000,Pateros,Mun,,1st,National Capital Region (NCR),National Capital Region (NCR),
1400101000,140101000,Bangued ,Mun,,1st,Abra,Cordillera Administrative Region (CAR),
1400102000,140102000,Boliney,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400103000,140103000,Bucay,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400104000,140104000,Bucloc,Mun,,6th,Abra,Cordillera Administrative Region (CAR),
1400105000,140105000,Daguioman,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400106000,140106000,Danglas,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400107000,140107000,Dolores,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400108000,140108000,La Paz,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400109000,140109000,Lacub,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400110000,140110000,Lagangilang,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400111000,140111000,Lagayan,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400112000,140112000,Langiden,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400113000,140113000,Licuan-Baay,Mun,,5th,Abra,Cordillera Administrative Region (CAR),Licuan
1400114000,140114000,Luba,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400115000,140115000,Malibcong,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400116000,140116000,Manabo,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400117000,140117000,Peñarrubia,Mun,,6th,Abra,Cordillera Administrative Region (CAR),
1400118000,140118000,Pidigan,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400119000,140119000,Pilar,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400120000,140120000,Sallapadan,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400121000,140121000,San Isidro,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400122000,140122000,San Juan,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400123000,140123000,San Quintin,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400124000,140124000,Tayum,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1400125000,140125000,Tineg,Mun,,2nd,Abra,Cordillera Administrative Region (CAR),
1400126000,140126000,Tubo,Mun,,4th,Abra,Cordillera Administrative Region (CAR),
1400127000,140127000,Villaviciosa,Mun,,5th,Abra,Cordillera Administrative Region (CAR),
1401101000,141101000,Atok,Mun,,4th,Benguet,Cordillera Administrative Region (CAR),
1401103000,141103000,Bakun,Mun,,3rd,Benguet,Cordillera Administrative Region (CAR),
1401104000,141104000,Bokod,Mun,,4th,Benguet,Cordillera Administrative Region (CAR),
1401105000,141105000,Buguias,Mun,,3rd,Benguet,Cordillera Administrative Region (CAR),
1401106000,141106000,Itogon,Mun,,1st,Benguet,Cordillera Administrative Region (CAR),
1401107000,141107000,Kabayan,Mun,,4th,Benguet,Cordillera Administrative Region (CAR),
1401108000,141108000,Kapangan,Mun,,4th,Benguet,Cordillera Administrative Region (CAR),
1401109000,141109000,Kibungan,Mun,,4th,Benguet,Cordillera Administrative Region (CAR),
1401110000,141110000,La Trinidad ,Mun,,1st,Benguet,Cordillera Administrative Region (CAR),
1401111000,141111000,Mankayan,Mun,,1st,Benguet,Cordillera Administrative Region (CAR),
1401112000,141112000,Sablan,Mun,,5th,Benguet,Cordillera Administrative Region (CAR),
1401113000,141113000,Tuba,Mun,,1st,Benguet,Cordillera Administrative Region (CAR),
1401114000,141114000,Tublay,Mun,,5th,Benguet,Cordillera Administrative Region (CAR),
1402701000,142701000,Banaue,Mun,,4th,Ifugao,Cordillera Administrative Region (CAR),
