psgc10,name,province,region,pop2024_src,pop2020,pop2024,births_est,deaths_est,natural_increase,net_migration,netmig_rate_per_1000_yr,flag
1400101000,Bangued ,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),50382.0,48331.0,2296.8,1612.7,684.2,-2735.2,-13.3,
1400102000,Boliney,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),4551.0,3778.0,178.3,93.2,85.1,-858.1,-49.45,
1400103000,Bucay,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),17953.0,17775.0,818.4,600.7,217.7,-395.7,-5.32,
1400104000,Bucloc,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),2395.0,2264.0,97.1,80.0,17.1,-148.1,-15.26,
1400105000,Daguioman,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),2019.0,1773.0,60.2,59.7,0.5,-246.5,-31.2,
1400106000,Danglas,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),4074.0,4372.0,192.3,139.5,52.8,245.2,13.93,
1400107000,Dolores,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),11512.0,11967.0,571.5,434.8,136.7,318.3,6.51,
1400108000,La Paz,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),16493.0,16014.0,738.8,518.4,220.4,-699.4,-10.33,
1400109000,Lacub,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),3612.0,3649.0,174.7,59.8,114.8,-77.8,-5.14,
1400110000,Lagangilang,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),14914.0,14577.0,655.4,501.1,154.2,-491.2,-7.99,
1400111000,Lagayan,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),4488.0,5154.0,216.0,178.3,37.7,628.3,31.28,
1400112000,Langiden,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),3576.0,3457.0,154.3,84.3,70.0,-189.0,-12.9,
1400113000,Licuan-Baay,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),4566.0,4301.0,195.2,123.6,71.5,-336.5,-18.22,
1400114000,Luba,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),6518.0,6402.0,264.5,230.6,33.9,-149.9,-5.57,
1400115000,Malibcong,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),4027.0,4167.0,137.8,109.3,28.5,111.5,6.53,
1400116000,Manabo,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),11611.0,11087.0,492.2,401.6,90.6,-614.6,-13.0,
1400117000,Peñarrubia,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),6951.0,7003.0,370.7,226.5,144.2,-92.2,-3.17,
1400118000,Pidigan,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),12475.0,12058.0,547.5,426.5,121.0,-538.0,-10.53,
1400119000,Pilar,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),10146.0,10498.0,418.8,316.1,102.7,249.3,5.8,
1400120000,Sallapadan,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),6389.0,6328.0,245.3,168.8,76.5,-137.5,-5.19,
1400121000,San Isidro,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),4745.0,4771.0,206.4,153.0,53.4,-27.4,-1.38,
1400122000,San Juan,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),10688.0,10777.0,509.0,302.1,206.9,-117.9,-2.64,
1400123000,San Quintin,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),5705.0,5963.0,307.3,196.7,110.7,147.3,6.06,
1400124000,Tayum,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),14869.0,14808.0,671.8,505.2,166.6,-227.6,-3.68,
1400125000,Tineg,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),4977.0,5059.0,276.8,75.2,201.7,-119.7,-5.72,
1400126000,Tubo,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),5674.0,4941.0,204.5,139.8,64.7,-797.7,-36.07,
1400127000,Villaviciosa,Abra,Cordillera Administrative Region (CAR),wikipedia-transcription (verified vs Table A),5675.0,5674.0,239.7,195.5,44.2,-45.2,-1.91,
