period,name,change_type,new_code9,mother_or_old_name,old_code9,legal_basis,remarks,sheet,level
January - March 2001,"Province of Zamboanga Sibugay, Region IX",Newly created province,098300000,,,RA 8973,,2001-present,
January - March 2001,"Municipality of Alicia, Zamboanga Sibugay",Transferred Municipality,098301000,Zamboanga del Sur,097301000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Buug, Zamboanga Sibugay",Transferred Municipality,098302000,Zamboanga del Sur,097304000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Diplahan, Zamboanga Sibugay",Transferred Municipality,098303000,Zamboanga del Sur,097339000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Imelda, Zamboanga Sibugay",Transferred Municipality,098304000,Zamboanga del Sur,097336000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Ipil, Zamboanga Sibugay",Transferred Municipality,098305000,Zamboanga del Sur,097309000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Kabasalan, Zamboanga Sibugay",Transferred Municipality,098306000,Zamboanga del Sur,097310000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Mabuhay, Zamboanga Sibugay",Transferred Municipality,098307000,Zamboanga del Sur,097314000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Malangas, Zamboanga Sibugay",Transferred Municipality,098308000,Zamboanga del Sur,097316000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Naga, Zamboanga Sibugay",Transferred Municipality,098309000,Zamboanga del Sur,097320000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Olutanga, Zamboanga Sibugay",Transferred Municipality,098310000,Zamboanga del Sur,097321000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Payao, Zamboanga Sibugay",Transferred Municipality,098311000,Zamboanga del Sur,097335000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Roseller Lim, Zamboanga Sibugay",Transferred Municipality,098312000,Zamboanga del Sur,097342000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Siay, Zamboanga Sibugay",Transferred Municipality,098313000,Zamboanga del Sur,097326000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Talusan, Zamboanga Sibugay",Transferred Municipality,098314000,Zamboanga del Sur,097334000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Titay, Zamboanga Sibugay",Transferred Municipality,098315000,Zamboanga del Sur,097329000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Tungawan, Zamboanga Sibugay",Transferred Municipality,098316000,Zamboanga del Sur,097331000,RA 8973,,2001-present,city_muni
January - March 2001,"City of Vigan, Ilocos Sur",New city,012934000,Municipality of Vigan,,,,2001-present,city_muni
January - March 2001,"City of Candon, Ilocos Sur",New city,012906000,Municipality of Candon,,,,2001-present,city_muni
January - March 2001,"City of Alaminos, Pangasinan",New city,015503000,Municipality of Alaminos,,,,2001-present,city_muni
