psgc10,name,province,year,births,deaths,flag,source
0102801000,Adams,Ilocos Norte,2017,31.0,11.0,,vital_events_2017.xlsx
0102801000,Adams,Ilocos Norte,2018,,11.0,,deaths_2018_stat_tables.xlsx
0102801000,Adams,Ilocos Norte,2019,38.0,14.0,preliminary,vitalstats_2019_stat_tables.xlsx
0102801000,Adams,Ilocos Norte,2020,33.0,8.0,,births_2020_stat_tables.xlsx;deaths_2020_stat_tables.xlsx
0102801000,Adams,Ilocos Norte,2021,31.0,17.0,,births_2021_stat_tables.xlsx;deaths_2021_stat_tables.xlsx
0102801000,Adams,Ilocos Norte,2022,19.0,15.0,,births_2022_stat_tables.xlsx;deaths_2022_stat_tables.xlsx
0102801000,Adams,Ilocos Norte,2023,31.0,6.0,,openstat births_muni_2023.csv;openstat deaths_muni_2023.csv
0102801000,Adams,Ilocos Norte,2024,17.0,16.0,,openstat births_muni_2024.csv;openstat deaths_muni_2024.csv
0102802000,Bacarra,Ilocos Norte,2017,396.0,231.0,,vital_events_2017.xlsx
0102802000,Bacarra,Ilocos Norte,2018,,257.0,,deaths_2018_stat_tables.xlsx
0102802000,Bacarra,Ilocos Norte,2019,428.0,254.0,preliminary,vitalstats_2019_stat_tables.xlsx
0102802000,Bacarra,Ilocos Norte,2020,385.0,213.0,,births_2020_stat_tables.xlsx;deaths_2020_stat_tables.xlsx
0102802000,Bacarra,Ilocos Norte,2021,313.0,347.0,,births_2021_stat_tables.xlsx;deaths_2021_stat_tables.xlsx
0102802000,Bacarra,Ilocos Norte,2022,360.0,257.0,,births_2022_stat_tables.xlsx;deaths_2022_stat_tables.xlsx
0102802000,Bacarra,Ilocos Norte,2023,340.0,294.0,,openstat births_muni_2023.csv;openstat deaths_muni_2023.csv
0102802000,Bacarra,Ilocos Norte,2024,338.0,268.0,,openstat births_muni_2024.csv;openstat deaths_muni_2024.csv
0102803000,Badoc,Ilocos Norte,2017,466.0,214.0,,vital_events_2017.xlsx
0102803000,Badoc,Ilocos Norte,2018,,217.0,,deaths_2018_stat_tables.xlsx
