geo,year,births,deaths,source,flag
abra,2006,,1239.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
abra,2007,,1280.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
abra,2008,,1409.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
abra,2009,,1413.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
abra,2010,,1356.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
abra,2011,,1540.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
abra,2012,,1588.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
abra,2013,4540.0,1565.0,unit series folded to geographic provinces,
abra,2014,4291.0,1666.0,unit series folded to geographic provinces,
abra,2015,3897.0,1551.0,unit series folded to geographic provinces,
abra,2016,3699.0,1684.0,unit series folded to geographic provinces,
abra,2017,3237.0,1598.0,unit series folded to geographic provinces,
abra,2018,3422.0,1640.0,unit series folded to geographic provinces,
abra,2019,3311.0,1815.0,unit series folded to geographic provinces,
abra,2020,2885.0,1660.0,unit series folded to geographic provinces,
abra,2021,2368.0,2238.0,unit series folded to geographic provinces,
abra,2022,2789.0,1808.0,unit series folded to geographic provinces,
abra,2023,2819.0,1823.0,unit series folded to geographic provinces,
abra,2024,2683.0,1916.0,unit series folded to geographic provinces,
agusan del norte,2006,,3193.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
agusan del norte,2007,,3049.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
agusan del norte,2008,,3192.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
agusan del norte,2009,,3329.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
agusan del norte,2010,,3412.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
agusan del norte,2011,,3694.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
agusan del norte,2012,,3856.0,PSA deaths-by-cause 2006-2015 (HUCs folded at source),births not published at this level before 2013
agusan del norte,2013,11166.0,3884.0,unit series folded to geographic provinces,
agusan del norte,2014,11348.0,4233.0,unit series folded to geographic provinces,
agusan del norte,2015,11503.0,4178.0,unit series folded to geographic provinces,
agusan del norte,2016,11631.0,4389.0,unit series folded to geographic provinces,
agusan del norte,2017,10602.0,4178.0,unit series folded to geographic provinces,
agusan del norte,2018,11055.0,4326.0,unit series folded to geographic provinces,
agusan del norte,2019,11152.0,4738.0,unit series folded to geographic provinces,
agusan del norte,2020,10291.0,4581.0,unit series folded to geographic provinces,
