name_src,province_src,pop1960,pop1970,pop1980,pop1990,pop2000,pop2010,pop2015,pop2020,psgc10,match_method,hist_flag
CITY OF MANILA,NATIONAL CAPITAL REGION (NCR),1138611.0,1330788.0,1630485.0,1601234.0,1581082.0,1652171.0,1780148.0,1846513.0,1380600000,cur:exact,
CITY OF MANDALUYONG,NATIONAL CAPITAL REGION (NCR),71619.0,149407.0,205366.0,248143.0,278474.0,328699.0,386276.0,425758.0,1380500000,cur:exact,
CITY OF MARIKINA,NATIONAL CAPITAL REGION (NCR),40455.0,113400.0,211613.0,310227.0,391170.0,424150.0,450741.0,456059.0,1380700000,cur:exact,
CITY OF PASIG,NATIONAL CAPITAL REGION (NCR),62130.0,156492.0,268570.0,397679.0,505058.0,669773.0,755300.0,803159.0,1381200000,cur:exact,
QUEZON CITY,NATIONAL CAPITAL REGION (NCR),397990.0,754452.0,1165865.0,1669776.0,2173831.0,2761720.0,2936116.0,2960048.0,1381300000,cur:exact,
CITY OF SAN JUAN,NATIONAL CAPITAL REGION (NCR),56861.0,104559.0,130088.0,126854.0,117680.0,121430.0,122180.0,126347.0,1381400000,cur:exact,
CITY OF CALOOCAN,NATIONAL CAPITAL REGION (NCR),145523.0,274453.0,467816.0,763415.0,1177604.0,1489040.0,1583978.0,1661584.0,1380100000,cur:exact,
CITY OF MALABON,NATIONAL CAPITAL REGION (NCR),76438.0,141514.0,191001.0,280027.0,338855.0,353337.0,365525.0,380522.0,1380400000,cur:exact,
CITY OF NAVOTAS,NATIONAL CAPITAL REGION (NCR),49262.0,83245.0,126146.0,187479.0,230403.0,249131.0,249463.0,247543.0,1380900000,cur:exact,
CITY OF VALENZUELA,NATIONAL CAPITAL REGION (NCR),41473.0,98456.0,212363.0,340227.0,485433.0,575356.0,620422.0,714978.0,1381600000,cur:exact,
CITY OF LAS PIÑAS,NATIONAL CAPITAL REGION (NCR),16093.0,45732.0,136514.0,297102.0,472780.0,552573.0,588894.0,606293.0,1380200000,cur:exact,
CITY OF MAKATI,NATIONAL CAPITAL REGION (NCR),114540.0,264918.0,372631.0,453170.0,471379.0,529039.0,582602.0,629616.0,1380300000,cur:exact,
CITY OF MUNTINLUPA,NATIONAL CAPITAL REGION (NCR),21893.0,65057.0,136679.0,278411.0,379310.0,459941.0,504509.0,543445.0,1380800000,cur:exact,
CITY OF PARAÑAQUE,NATIONAL CAPITAL REGION (NCR),61898.0,97214.0,208552.0,308236.0,449811.0,588126.0,665822.0,689992.0,1381000000,cur:exact,
PASAY CITY,NATIONAL CAPITAL REGION (NCR),132673.0,206283.0,287770.0,368366.0,354908.0,392869.0,416522.0,440656.0,1381100000,cur:exact,
PATEROS,NATIONAL CAPITAL REGION (NCR),13173.0,25468.0,40288.0,51409.0,57407.0,64147.0,63840.0,65227.0,1381701000,cur:exact,
CITY OF TAGUIG,NATIONAL CAPITAL REGION (NCR),21856.0,55257.0,134137.0,266637.0,467375.0,644473.0,804915.0,886722.0,1381500000,cur:exact,
BANGUED (CAPITAL),ABRA,19368.0,24587.0,28666.0,34184.0,38965.0,43936.0,48163.0,50382.0,1400101000,cur:exact,
BOLINEY,ABRA,2326.0,3175.0,3060.0,3773.0,3340.0,4063.0,3573.0,4551.0,1400102000,cur:exact,
BUCAY,ABRA,7473.0,9937.0,12375.0,13346.0,14881.0,17126.0,17115.0,17953.0,1400103000,cur:exact,
BUCLOC,ABRA,1152.0,1401.0,1605.0,1932.0,2109.0,2176.0,2501.0,2395.0,1400104000,cur:exact,
DAGUIOMAN,ABRA,1003.0,1050.0,1254.0,1413.0,1748.0,1715.0,2088.0,2019.0,1400105000,cur:exact,
DANGLAS,ABRA,2475.0,2508.0,2657.0,3042.0,4144.0,4734.0,4192.0,4074.0,1400106000,cur:exact,
DOLORES,ABRA,5065.0,6751.0,7615.0,8577.0,9949.0,11499.0,11315.0,11512.0,1400107000,cur:exact,
LA PAZ,ABRA,6808.0,8527.0,9205.0,11240.0,12922.0,14882.0,15437.0,16493.0,1400108000,cur:exact,
LACUB,ABRA,1424.0,1706.0,2038.0,2326.0,2782.0,2977.0,3403.0,3612.0,1400109000,cur:exact,
LAGANGILANG,ABRA,6762.0,8905.0,9466.0,11248.0,12073.0,13824.0,14255.0,14914.0,1400110000,cur:exact,
LAGAYAN,ABRA,2750.0,3182.0,3827.0,3771.0,3894.0,4477.0,4499.0,4488.0,1400111000,cur:exact,
LANGIDEN,ABRA,1743.0,2558.0,2256.0,2452.0,2998.0,3170.0,3198.0,3576.0,1400112000,cur:exact,
LICUAN-BAAY (LICUAN),ABRA,2066.0,2821.0,3094.0,3697.0,3812.0,4864.0,4689.0,4566.0,1400113000,cur:stripped,
LUBA,ABRA,3710.0,5666.0,4911.0,5563.0,6203.0,6391.0,6339.0,6518.0,1400114000,cur:exact,
MALIBCONG,ABRA,2163.0,3158.0,3108.0,3494.0,3806.0,3807.0,3428.0,4027.0,1400115000,cur:exact,
MANABO,ABRA,4111.0,6009.0,6590.0,7797.0,9643.0,10756.0,10761.0,11611.0,1400116000,cur:exact,
PEÑARRUBIA,ABRA,3117.0,3955.0,4096.0,4893.0,5515.0,6544.0,6640.0,6951.0,1400117000,cur:exact,
PIDIGAN,ABRA,5414.0,6605.0,7162.0,8807.0,10183.0,11528.0,12185.0,12475.0,1400118000,cur:exact,
PILAR,ABRA,6025.0,6959.0,7518.0,8451.0,9328.0,9908.0,10223.0,10146.0,1400119000,cur:exact,
SALLAPADAN,ABRA,3450.0,3551.0,4274.0,4941.0,5497.0,5985.0,6622.0,6389.0,1400120000,cur:exact,
SAN ISIDRO,ABRA,2605.0,3098.0,3087.0,3744.0,4293.0,4888.0,4574.0,4745.0,1400121000,cur:exact,
SAN JUAN,ABRA,5400.0,6833.0,7233.0,8445.0,8821.0,10546.0,9867.0,10688.0,1400122000,cur:exact,
SAN QUINTIN,ABRA,2495.0,3259.0,3574.0,4293.0,5130.0,5233.0,5438.0,5705.0,1400123000,cur:exact,
TAYUM,ABRA,7025.0,8211.0,9621.0,11045.0,12539.0,13940.0,14467.0,14869.0,1400124000,cur:exact,
TINEG,ABRA,1871.0,2254.0,2988.0,3068.0,4995.0,4668.0,5097.0,4977.0,1400125000,cur:exact,
TUBO,ABRA,4198.0,4386.0,4985.0,4589.0,5044.0,5719.0,5699.0,5674.0,1400126000,cur:exact,
VILLAVICIOSA,ABRA,3194.0,4006.0,3933.0,4612.0,4877.0,5377.0,5392.0,5675.0,1400127000,cur:exact,
ATOK,BENGUET,8353.0,10215.0,14466.0,13853.0,16657.0,19242.0,19668.0,19218.0,1401101000,cur:exact,
BAKUN,BENGUET,4927.0,6584.0,8878.0,10817.0,12213.0,13587.0,15357.0,14535.0,1401103000,cur:exact,
BOKOD,BENGUET,8946.0,10161.0,11899.0,11474.0,11705.0,12648.0,13756.0,14435.0,1401104000,cur:exact,
BUGUIAS,BENGUET,8658.0,12402.0,17509.0,25236.0,33177.0,39271.0,43627.0,44877.0,1401105000,cur:exact,
ITOGON,BENGUET,32742.0,39834.0,47605.0,61773.0,46705.0,55960.0,59820.0,61498.0,1401106000,cur:exact,
KABAYAN,BENGUET,5869.0,7116.0,9072.0,10306.0,12344.0,13588.0,15260.0,15806.0,1401107000,cur:exact,
KAPANGAN,BENGUET,10707.0,12221.0,13381.0,15537.0,18137.0,20084.0,19361.0,19297.0,1401108000,cur:exact,
KIBUNGAN,BENGUET,6901.0,9115.0,10500.0,12753.0,15036.0,16850.0,17292.0,17051.0,1401109000,cur:exact,
LA TRINIDAD (CAPITAL),BENGUET,12415.0,18551.0,28713.0,48523.0,67963.0,107188.0,129133.0,137404.0,1401110000,cur:exact,
MANKAYAN,BENGUET,13812.0,21780.0,25684.0,32889.0,34502.0,35586.0,35953.0,37233.0,1401111000,cur:exact,
SABLAN,BENGUET,4741.0,5681.0,7900.0,8440.0,9652.0,10511.0,11457.0,11588.0,1401112000,cur:exact,
TUBA,BENGUET,9307.0,17939.0,30449.0,39635.0,38366.0,42874.0,47648.0,48312.0,1401113000,cur:exact,
TUBLAY,BENGUET,5843.0,7413.0,9686.0,11479.0,13672.0,16555.0,17892.0,19429.0,1401114000,cur:exact,
CITY OF BAGUIO,BENGUET,,84538.0,119009.0,183142.0,252386.0,318676.0,345366.0,366358.0,1430300000,cur:exact,
BANAUE,IFUGAO,17877.0,20268.0,22900.0,16943.0,20563.0,22365.0,21837.0,20652.0,1402701000,cur:exact,
HUNGDUAN,IFUGAO,7603.0,8958.0,9857.0,7254.0,9380.0,9933.0,9400.0,8866.0,1402702000,cur:exact,
KIANGAN,IFUGAO,12689.0,15123.0,17481.0,21329.0,14099.0,15837.0,17048.0,17691.0,1402703000,cur:exact,
LAGAWE (CAPITAL),IFUGAO,13694.0,14085.0,15075.0,12437.0,15269.0,18077.0,19333.0,18876.0,1402704000,cur:exact,
LAMUT,IFUGAO,5554.0,8068.0,11017.0,14101.0,18731.0,23088.0,25279.0,26235.0,1402705000,cur:exact,
MAYOYAO,IFUGAO,15028.0,20189.0,24022.0,23942.0,14191.0,16413.0,17331.0,15621.0,1402706000,cur:exact,
ALFONSO LISTA (POTIA),IFUGAO,4343.0,5796.0,11016.0,14816.0,21167.0,28410.0,32119.0,34061.0,1402707000,cur:stripped,
AGUINALDO,IFUGAO,,,,19830.0,16377.0,18610.0,19408.0,21128.0,1402708000,cur:exact,
HINGYON,IFUGAO,,,,8373.0,9769.0,9795.0,9227.0,9930.0,1402709000,cur:exact,
TINOC,IFUGAO,,,,8256.0,9783.0,14147.0,16559.0,18475.0,1402710000,cur:exact,
ASIPULO,IFUGAO,,,,,12294.0,14403.0,15261.0,15963.0,1402711000,cur:exact,
BALBALAN,KALINGA,7605.0,6518.0,9168.0,10147.0,11934.0,12082.0,12195.0,12914.0,1403201000,cur:exact,
LUBUAGAN,KALINGA,10289.0,7236.0,8545.0,9189.0,9875.0,9369.0,8733.0,9323.0,1403206000,cur:exact,
PASIL,KALINGA,,5557.0,6872.0,7572.0,9360.0,9626.0,9644.0,10577.0,1403208000,cur:exact,
PINUKPUK,KALINGA,7030.0,10470.0,17362.0,20102.0,26130.0,29596.0,32026.0,34275.0,1403209000,cur:exact,
RIZAL (LIWAN),KALINGA,,8034.0,11637.0,10885.0,13652.0,15942.0,17038.0,19554.0,1403211000,cur:stripped,
CITY OF TABUK (CAPITAL),KALINGA,21261.0,28016.0,42768.0,57200.0,78633.0,103912.0,110642.0,121033.0,1403213000,cur:exact,
TANUDAN,KALINGA,4607.0,5696.0,6327.0,9323.0,10275.0,8529.0,9534.0,8746.0,1403214000,cur:exact,
TINGLAYAN,KALINGA,9135.0,10317.0,11703.0,12637.0,14164.0,12557.0,12868.0,13148.0,1403215000,cur:exact,
