name_src,province_src,region_sheet,pop2000,pop2010,pop2015,pop2020,psgc10,match_method
CITY OF MANILA,,NCR,1581082,1652171,1780148,1846513,1380600000,name_unique_national
CITY OF MANDALUYONG,,NCR,278474,328699,386276,425758,1380500000,name_unique_national
CITY OF MARIKINA,,NCR,391170,424150,450741,456059,1380700000,name_unique_national
CITY OF PASIG,,NCR,505058,669773,755300,803159,1381200000,name_unique_national
QUEZON CITY,,NCR,2173831,2761720,2936116,2960048,1381300000,name_unique_national
CITY OF SAN JUAN,,NCR,117680,121430,122180,126347,1381400000,name_unique_national
CITY OF CALOOCAN,,NCR,1177604,1489040,1583978,1661584,1380100000,name_unique_national
CITY OF MALABON,,NCR,338855,353337,365525,380522,1380400000,name_unique_national
CITY OF NAVOTAS,,NCR,230403,249131,249463,247543,1380900000,name_unique_national
CITY OF VALENZUELA,,NCR,485433,575356,620422,714978,1381600000,name_unique_national
CITY OF LAS PIÑAS,,NCR,472780,552573,588894,606293,1380200000,name_unique_national
CITY OF MAKATI,,NCR,471379,529039,582602,629616,1380300000,name_unique_national
CITY OF MUNTINLUPA,,NCR,379310,459941,504509,543445,1380800000,name_unique_national
CITY OF PARAÑAQUE,,NCR,449811,588126,665822,689992,1381000000,name_unique_national
PASAY CITY,,NCR,354908,392869,416522,440656,1381100000,name_unique_national
PATEROS,,NCR,57407,64147,63840,65227,1381701000,name_unique_national
CITY OF TAGUIG,,NCR,467375,644473,804915,886722,1381500000,name_unique_national
BANGUED (Capital),ABRA,CAR,38965,43936,48163,50382,1400101000,cur:exact
BOLINEY,ABRA,CAR,3340,4063,3573,4551,1400102000,cur:exact
BUCAY,ABRA,CAR,14881,17126,17115,17953,1400103000,cur:exact
BUCLOC,ABRA,CAR,2109,2176,2501,2395,1400104000,cur:exact
DAGUIOMAN,ABRA,CAR,1748,1715,2088,2019,1400105000,cur:exact
DANGLAS,ABRA,CAR,4144,4734,4192,4074,1400106000,cur:exact
DOLORES,ABRA,CAR,9949,11499,11315,11512,1400107000,cur:exact
LA PAZ,ABRA,CAR,12922,14882,15437,16493,1400108000,cur:exact
LACUB,ABRA,CAR,2782,2977,3403,3612,1400109000,cur:exact
LAGANGILANG,ABRA,CAR,12073,13824,14255,14914,1400110000,cur:exact
LAGAYAN,ABRA,CAR,3894,4477,4499,4488,1400111000,cur:exact
LANGIDEN,ABRA,CAR,2998,3170,3198,3576,1400112000,cur:exact
LICUAN-BAAY (LICUAN),ABRA,CAR,3812,4864,4689,4566,1400113000,cur:stripped
LUBA,ABRA,CAR,6203,6391,6339,6518,1400114000,cur:exact
MALIBCONG,ABRA,CAR,3806,3807,3428,4027,1400115000,cur:exact
MANABO,ABRA,CAR,9643,10756,10761,11611,1400116000,cur:exact
PEÑARRUBIA,ABRA,CAR,5515,6544,6640,6951,1400117000,cur:exact
PIDIGAN,ABRA,CAR,10183,11528,12185,12475,1400118000,cur:exact
PILAR,ABRA,CAR,9328,9908,10223,10146,1400119000,cur:exact
SALLAPADAN,ABRA,CAR,5497,5985,6622,6389,1400120000,cur:exact
SAN ISIDRO,ABRA,CAR,4293,4888,4574,4745,1400121000,cur:exact
SAN JUAN,ABRA,CAR,8821,10546,9867,10688,1400122000,cur:exact
SAN QUINTIN,ABRA,CAR,5130,5233,5438,5705,1400123000,cur:exact
TAYUM,ABRA,CAR,12539,13940,14467,14869,1400124000,cur:exact
TINEG,ABRA,CAR,4995,4668,5097,4977,1400125000,cur:exact
TUBO,ABRA,CAR,5044,5719,5699,5674,1400126000,cur:exact
VILLAVICIOSA,ABRA,CAR,4877,5377,5392,5675,1400127000,cur:exact
CALANASAN (BAYAG),APAYAO,CAR,12806,11568,12604,12550,1408101000,cur:stripped
CONNER,APAYAO,CAR,20429,24811,26051,27552,1408102000,cur:exact
FLORA,APAYAO,CAR,14860,16743,17391,17944,1408103000,cur:exact
KABUGAO (Capital),APAYAO,CAR,13985,16170,15537,16215,1408104000,cur:exact
LUNA,APAYAO,CAR,14154,18029,19063,21297,1408105000,cur:exact
PUDTOL,APAYAO,CAR,11039,13305,14925,15491,1408106000,cur:exact
SANTA MARCELA,APAYAO,CAR,9856,12010,13613,13317,1408107000,cur:exact
ATOK,BENGUET *,CAR,16657,19242,19668,19218,1401101000,cur:exact
BAKUN,BENGUET *,CAR,12213,13587,15357,14535,1401103000,cur:exact
BOKOD,BENGUET *,CAR,11705,12648,13756,14435,1401104000,cur:exact
BUGUIAS,BENGUET *,CAR,33177,39271,43627,44877,1401105000,cur:exact
ITOGON,BENGUET *,CAR,46705,55960,59820,61498,1401106000,cur:exact
KABAYAN,BENGUET *,CAR,12344,13588,15260,15806,1401107000,cur:exact
KAPANGAN,BENGUET *,CAR,18137,20084,19361,19297,1401108000,cur:exact
KIBUNGAN,BENGUET *,CAR,15036,16850,17292,17051,1401109000,cur:exact
LA TRINIDAD (Capital),BENGUET *,CAR,67963,107188,129133,137404,1401110000,cur:exact
MANKAYAN,BENGUET *,CAR,34502,35586,35953,37233,1401111000,cur:exact
SABLAN,BENGUET *,CAR,9652,10511,11457,11588,1401112000,cur:exact
TUBA,BENGUET *,CAR,38366,42874,47648,48312,1401113000,cur:exact
TUBLAY,BENGUET *,CAR,13672,16555,17892,19429,1401114000,cur:exact
