psgc10,psgc9,name,level,city_class,income_class,old_names,pop2020_psgc,region_code,prov_code,region,province,name_norm,province_norm
1380100000,137501000,City of Caloocan,City,HUC,1st,,1661584,13,13801,National Capital Region (NCR),National Capital Region (NCR),caloocan city,national capital region (ncr)
1380200000,137601000,City of Las Piñas,City,HUC,1st,,606293,13,13802,National Capital Region (NCR),National Capital Region (NCR),las pinas city,national capital region (ncr)
1380300000,137602000,City of Makati,City,HUC,1st,,629616,13,13803,National Capital Region (NCR),National Capital Region (NCR),makati city,national capital region (ncr)
1380400000,137502000,City of Malabon,City,HUC,1st,,380522,13,13804,National Capital Region (NCR),National Capital Region (NCR),malabon city,national capital region (ncr)
1380500000,137401000,City of Mandaluyong,City,HUC,1st,,425758,13,13805,National Capital Region (NCR),National Capital Region (NCR),mandaluyong city,national capital region (ncr)
1380600000,133900000,City of Manila,City,HUC,Special,,1846513,13,13806,National Capital Region (NCR),National Capital Region (NCR),manila city,national capital region (ncr)
1380700000,137402000,City of Marikina,City,HUC,1st,,456059,13,13807,National Capital Region (NCR),National Capital Region (NCR),marikina city,national capital region (ncr)
1380800000,137603000,City of Muntinlupa,City,HUC,1st,,543445,13,13808,National Capital Region (NCR),National Capital Region (NCR),muntinlupa city,national capital region (ncr)
1380900000,137503000,City of Navotas,City,HUC,2nd,,247543,13,13809,National Capital Region (NCR),National Capital Region (NCR),navotas city,national capital region (ncr)
1381000000,137604000,City of Parañaque,City,HUC,1st,,689992,13,13810,National Capital Region (NCR),National Capital Region (NCR),paranaque city,national capital region (ncr)
1381100000,137605000,Pasay City,City,HUC,1st,,440656,13,13811,National Capital Region (NCR),National Capital Region (NCR),pasay city,national capital region (ncr)
1381200000,137403000,City of Pasig,City,HUC,1st,,803159,13,13812,National Capital Region (NCR),National Capital Region (NCR),pasig city,national capital region (ncr)
1381300000,137404000,Quezon City,City,HUC,Special,,2960048,13,13813,National Capital Region (NCR),National Capital Region (NCR),quezon city,national capital region (ncr)
1381400000,137405000,City of San Juan,City,HUC,1st,,126347,13,13814,National Capital Region (NCR),National Capital Region (NCR),san juan city,national capital region (ncr)
1381500000,137607000,City of Taguig,City,HUC,1st,,886722,13,13815,National Capital Region (NCR),National Capital Region (NCR),taguig city,national capital region (ncr)
1381600000,137504000,City of Valenzuela,City,HUC,1st,,714978,13,13816,National Capital Region (NCR),National Capital Region (NCR),valenzuela city,national capital region (ncr)
1381701000,137606000,Pateros,Mun,,1st,,65227,13,13817,National Capital Region (NCR),National Capital Region (NCR),pateros,national capital region (ncr)
