year,psgc10,name_src,province_src,match_method,births,deaths,flag,source
2017,,FOREIGN COUNTRY,DINAGAT ISLANDS,unallocated,605.0,583.0,,vital_events_2017.xlsx
2017,,NOT STATED,BATANGAS,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,BOHOL,unallocated,0.0,2.0,,vital_events_2017.xlsx
2017,,NOT STATED,CAMARINES NORTE,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,CAMARINES SUR,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,CAVITE,unallocated,0.0,2.0,,vital_events_2017.xlsx
2017,,NOT STATED,ILOCOS SUR,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,LA UNION,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,LAGUNA,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,LEYTE,unallocated,0.0,2.0,,vital_events_2017.xlsx
2017,,NOT STATED,MAGUINDANAO,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,NATIONAL CAPITAL REGION (NCR),unallocated,0.0,2.0,,vital_events_2017.xlsx
2017,,NOT STATED,NEGROS OCCIDENTAL,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,OCCIDENTAL MINDORO,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,PALAWAN,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,SURIGAO DEL SUR,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,,NOT STATED,TARLAC,unallocated,0.0,2.0,,vital_events_2017.xlsx
2017,,NOT STATED,ZAMBOANGA SIBUGAY,unallocated,0.0,1.0,,vital_events_2017.xlsx
2017,0102801000,Adams,ILOCOS NORTE,cur:exact,31.0,11.0,,vital_events_2017.xlsx
2017,0102802000,Bacarra,ILOCOS NORTE,cur:exact,396.0,231.0,,vital_events_2017.xlsx
2017,0102803000,Badoc,ILOCOS NORTE,cur:exact,466.0,214.0,,vital_events_2017.xlsx
2017,0102804000,Bangui,ILOCOS NORTE,cur:exact,215.0,112.0,,vital_events_2017.xlsx
2017,0102805000,City of Batac,ILOCOS NORTE,cur:exact,758.0,446.0,,vital_events_2017.xlsx
2017,0102806000,Burgos,ILOCOS NORTE,cur:exact,151.0,81.0,,vital_events_2017.xlsx
2017,0102807000,Carasi,ILOCOS NORTE,cur:exact,21.0,14.0,,vital_events_2017.xlsx
2017,0102808000,Currimao,ILOCOS NORTE,cur:exact,160.0,87.0,,vital_events_2017.xlsx
2017,0102809000,Dingras,ILOCOS NORTE,cur:exact,523.0,293.0,,vital_events_2017.xlsx
2017,0102810000,Dumalneg,ILOCOS NORTE,cur:exact,51.0,16.0,,vital_events_2017.xlsx
2017,0102811000,Banna (Espiritu),ILOCOS NORTE,cur:stripped,251.0,144.0,,vital_events_2017.xlsx
2017,0102812000,Laoag City (Capital),ILOCOS NORTE,cur:exact,1578.0,810.0,,vital_events_2017.xlsx
2017,0102813000,Marcos,ILOCOS NORTE,cur:exact,245.0,143.0,,vital_events_2017.xlsx
2017,0102814000,Nueva Era,ILOCOS NORTE,cur:exact,135.0,50.0,,vital_events_2017.xlsx
2017,0102815000,Pagudpud,ILOCOS NORTE,cur:exact,351.0,164.0,,vital_events_2017.xlsx
2017,0102816000,Paoay,ILOCOS NORTE,cur:exact,319.0,192.0,,vital_events_2017.xlsx
2017,0102817000,Pasuquin,ILOCOS NORTE,cur:exact,450.0,238.0,,vital_events_2017.xlsx
2017,0102818000,Piddig,ILOCOS NORTE,cur:exact,330.0,173.0,,vital_events_2017.xlsx
2017,0102819000,Pinili,ILOCOS NORTE,cur:exact,194.0,148.0,,vital_events_2017.xlsx
2017,0102820000,San Nicolas,ILOCOS NORTE,cur:exact,582.0,291.0,,vital_events_2017.xlsx
2017,0102821000,Sarrat,ILOCOS NORTE,cur:exact,329.0,207.0,,vital_events_2017.xlsx
2017,0102822000,Solsona,ILOCOS NORTE,cur:exact,336.0,163.0,,vital_events_2017.xlsx
2017,0102823000,Vintar,ILOCOS NORTE,cur:exact,407.0,240.0,,vital_events_2017.xlsx
2017,0102901000,Alilem,ILOCOS SUR,cur:exact,92.0,38.0,,vital_events_2017.xlsx
2017,0102902000,Banayoyo,ILOCOS SUR,cur:exact,85.0,54.0,,vital_events_2017.xlsx
2017,0102903000,Bantay,ILOCOS SUR,cur:exact,477.0,234.0,,vital_events_2017.xlsx
2017,0102904000,Burgos,ILOCOS SUR,cur:exact,167.0,87.0,,vital_events_2017.xlsx
2017,0102905000,Cabugao,ILOCOS SUR,cur:exact,602.0,213.0,,vital_events_2017.xlsx
2017,0102906000,City of Candon,ILOCOS SUR,cur:exact,827.0,410.0,,vital_events_2017.xlsx
2017,0102907000,Caoayan,ILOCOS SUR,cur:exact,281.0,137.0,,vital_events_2017.xlsx
2017,0102908000,Cervantes,ILOCOS SUR,cur:exact,291.0,84.0,,vital_events_2017.xlsx
2017,0102909000,Galimuyod,ILOCOS SUR,cur:exact,129.0,75.0,,vital_events_2017.xlsx
2017,0102910000,Gregorio del Pilar (Concepcion),ILOCOS SUR,cur:stripped,54.0,30.0,,vital_events_2017.xlsx
2017,0102911000,Lidlidda,ILOCOS SUR,cur:exact,56.0,25.0,,vital_events_2017.xlsx
2017,0102912000,Magsingal,ILOCOS SUR,cur:exact,465.0,187.0,,vital_events_2017.xlsx
2017,0102913000,Nagbukel,ILOCOS SUR,cur:exact,68.0,29.0,,vital_events_2017.xlsx
2017,0102914000,Narvacan,ILOCOS SUR,cur:exact,622.0,271.0,,vital_events_2017.xlsx
2017,0102915000,Quirino (Angkaki),ILOCOS SUR,cur:stripped,112.0,49.0,,vital_events_2017.xlsx
2017,0102916000,Salcedo (Baugen),ILOCOS SUR,cur:stripped,124.0,76.0,,vital_events_2017.xlsx
2017,0102917000,San Emilio,ILOCOS SUR,cur:exact,91.0,45.0,,vital_events_2017.xlsx
2017,0102918000,San Esteban,ILOCOS SUR,cur:exact,123.0,61.0,,vital_events_2017.xlsx
2017,0102919000,San Ildefonso,ILOCOS SUR,cur:exact,87.0,54.0,,vital_events_2017.xlsx
2017,0102920000,San Juan (Lapog),ILOCOS SUR,cur:stripped,365.0,179.0,,vital_events_2017.xlsx
2017,0102921000,San Vicente,ILOCOS SUR,cur:exact,189.0,88.0,,vital_events_2017.xlsx
2017,0102922000,Santa,ILOCOS SUR,cur:exact,189.0,138.0,,vital_events_2017.xlsx
2017,0102923000,Santa Catalina,ILOCOS SUR,cur:exact,171.0,96.0,,vital_events_2017.xlsx
2017,0102924000,Santa Cruz,ILOCOS SUR,cur:exact,523.0,260.0,,vital_events_2017.xlsx
2017,0102925000,Santa Lucia,ILOCOS SUR,cur:exact,343.0,151.0,,vital_events_2017.xlsx
2017,0102926000,Santa Maria,ILOCOS SUR,cur:exact,396.0,200.0,,vital_events_2017.xlsx
2017,0102927000,Santiago,ILOCOS SUR,cur:exact,254.0,112.0,,vital_events_2017.xlsx
2017,0102928000,Santo Domingo,ILOCOS SUR,cur:exact,393.0,202.0,,vital_events_2017.xlsx
2017,0102929000,Sigay,ILOCOS SUR,cur:exact,26.0,16.0,,vital_events_2017.xlsx
2017,0102930000,Sinait,ILOCOS SUR,cur:exact,346.0,204.0,,vital_events_2017.xlsx
2017,0102931000,Sugpon,ILOCOS SUR,cur:exact,66.0,22.0,,vital_events_2017.xlsx
2017,0102932000,Suyo,ILOCOS SUR,cur:exact,153.0,65.0,,vital_events_2017.xlsx
2017,0102933000,Tagudin,ILOCOS SUR,cur:exact,537.0,242.0,,vital_events_2017.xlsx
2017,0102934000,City of Vigan (Capital),ILOCOS SUR,cur:exact,708.0,414.0,,vital_events_2017.xlsx
2017,0103301000,Agoo,LA UNION,cur:exact,913.0,394.0,,vital_events_2017.xlsx
2017,0103302000,Aringay,LA UNION,cur:exact,704.0,310.0,,vital_events_2017.xlsx
2017,0103303000,Bacnotan,LA UNION,cur:exact,560.0,285.0,,vital_events_2017.xlsx
2017,0103304000,Bagulin,LA UNION,cur:exact,210.0,65.0,,vital_events_2017.xlsx
2017,0103305000,Balaoan,LA UNION,cur:exact,577.0,312.0,,vital_events_2017.xlsx
2017,0103306000,Bangar,LA UNION,cur:exact,485.0,284.0,,vital_events_2017.xlsx
