year,region,province_src,name_src,mayor_votes,psgc10,match_method
2016,BARMM,BASILAN,AKBAR,5027,1900708000,cur:exact
2016,BARMM,BASILAN,AL BARKA,6627,1900709000,cur:exact
2016,BARMM,BASILAN,HADJI MOHAMMAD AJUL,6978,1900710000,cur:exact
2016,BARMM,BASILAN,HADJI MUHTAMAD,6145,1900712000,cur:exact
2016,BARMM,BASILAN,ISABELA,27923,0990101000,cur:based
2016,BARMM,BASILAN,LAMITAN,31289,1900702000,cur:based
2016,BARMM,BASILAN,LANTAWAN,9537,1900703000,cur:exact
2016,BARMM,BASILAN,MALUSO,14976,1900704000,cur:exact
2016,BARMM,BASILAN,SUMISIP,17590,1900705000,cur:exact
2016,BARMM,BASILAN,TABUAN LASA,10114,1900713000,cur:exact
2016,BARMM,BASILAN,TIPO TIPO,6793,1900706000,cur:exact
2016,BARMM,BASILAN,TUBURAN,4873,1900707000,cur:exact
2016,BARMM,BASILAN,UNGKAYA PUKAN,6065,1900711000,cur:exact
2016,BARMM,LANAO DEL SUR,AMAI MANABILANG BUMBARAN,4884,1903637000,old:stripped
2016,BARMM,LANAO DEL SUR,BACOLOD KALAWI BACOLOD GRANDE,4265,1903601000,old:stripped
2016,BARMM,LANAO DEL SUR,BALABAGAN,10500,1903602000,cur:exact
2016,BARMM,LANAO DEL SUR,BALINDONG WATU,11092,1903603000,old:stripped
2016,BARMM,LANAO DEL SUR,BAYANG,10280,1903604000,cur:exact
2016,BARMM,LANAO DEL SUR,BINIDAYAN,5773,1903605000,cur:exact
2016,BARMM,LANAO DEL SUR,BUADIPOSO BUNTONG,9690,1903633000,cur:exact
2016,BARMM,LANAO DEL SUR,BUBONG,8242,1903606000,cur:exact
2016,BARMM,LANAO DEL SUR,BUTIG,8039,1903607000,cur:exact
2016,BARMM,LANAO DEL SUR,CALANOGAS,5435,1903632000,cur:exact
2016,BARMM,LANAO DEL SUR,DITSAAN RAMAIN,3289,1903624000,cur:exact
2016,BARMM,LANAO DEL SUR,GANASSI,5417,1903609000,cur:exact
2016,BARMM,LANAO DEL SUR,KAPAI,3150,1903610000,cur:exact
2016,BARMM,LANAO DEL SUR,KAPATAGAN,8538,1903639000,cur:exact
2016,BARMM,LANAO DEL SUR,LUMBA BAYABAO MAGUING,5517,1903611000,old:stripped
2016,BARMM,LANAO DEL SUR,LUMBACA UNAYAN,3546,1903641000,cur:exact
2016,BARMM,LANAO DEL SUR,LUMBATAN,8800,1903612000,cur:exact
2016,BARMM,LANAO DEL SUR,LUMBAYANAGUE,572,1903636000,cur:exact
2016,BARMM,LANAO DEL SUR,MADALUM,2497,1903613000,cur:exact
2016,BARMM,LANAO DEL SUR,MADAMBA,6353,1903614000,cur:exact
2016,BARMM,LANAO DEL SUR,MAGUING,14547,1903634000,cur:exact
2016,BARMM,LANAO DEL SUR,MALABANG,12616,1903615000,cur:exact
2016,BARMM,LANAO DEL SUR,MARANTAO,18516,1903616000,cur:exact
2016,BARMM,LANAO DEL SUR,MARAWI,16612,1903617000,cur:based
2016,BARMM,LANAO DEL SUR,MAROGONG,7700,1903631000,cur:exact
2016,BARMM,LANAO DEL SUR,MASIU,9235,1903618000,cur:exact
2016,BARMM,LANAO DEL SUR,MULONDO,872,1903619000,cur:exact
2016,BARMM,LANAO DEL SUR,PAGAYAWAN TATARIKAN,5918,1903620000,old:stripped
2016,BARMM,LANAO DEL SUR,PIAGAPO,3178,1903621000,cur:exact
2016,BARMM,LANAO DEL SUR,PICONG SULTAN GUMANDER,7807,1903635000,old:stripped
2016,BARMM,LANAO DEL SUR,POONA BAYABAO GATA,8397,1903622000,old:stripped
2016,BARMM,LANAO DEL SUR,PUALAS,4857,1903623000,cur:exact
2016,BARMM,LANAO DEL SUR,SAGUIARAN,15981,1903625000,cur:exact
2016,BARMM,LANAO DEL SUR,SULTAN DUMALONDONG,3232,1903640000,cur:exact
2016,BARMM,LANAO DEL SUR,TAGOLOAN,3005,1903638000,cur:exact
2016,BARMM,LANAO DEL SUR,TAMPARAN,10290,1903626000,cur:exact
2016,BARMM,LANAO DEL SUR,TARAKA,444,1903627000,cur:exact
2016,BARMM,LANAO DEL SUR,TUBARAN,7159,1903628000,cur:exact
2016,BARMM,LANAO DEL SUR,TUGAYA,7980,1903629000,cur:exact
2016,BARMM,LANAO DEL SUR,WAO,26547,1903630000,cur:exact
2016,BARMM,MAGUINDANAO,AMPATUAN,8023,1908801000,cur:exact
2016,BARMM,MAGUINDANAO,BARIRA,12106,1908701000,cur:exact
2016,BARMM,MAGUINDANAO,BULDON,13569,1908702000,cur:exact
2016,BARMM,MAGUINDANAO,BULUAN,14899,1908802000,cur:exact
2016,BARMM,MAGUINDANAO,COTABATO,43736,1908703000,cur:based
2016,BARMM,MAGUINDANAO,DATU ABDULLAH SANGKI,5791,1908803000,cur:exact
2016,BARMM,MAGUINDANAO,DATU ANGGAL MIDTIMBANG,4323,1908804000,cur:exact
2016,BARMM,MAGUINDANAO,DATU BLAH T SINSUAT,8138,1908704000,cur:exact
2016,BARMM,MAGUINDANAO,DATU HOFFER AMPATUAN,4613,1908805000,cur:exact
2016,BARMM,MAGUINDANAO,DATU ODIN SINSUAT DINAIG,38402,1908705000,old:stripped
2016,BARMM,MAGUINDANAO,DATU PAGLAS,10644,1908806000,cur:exact
2016,BARMM,MAGUINDANAO,DATU PIANG,11090,1908807000,cur:exact
2016,BARMM,MAGUINDANAO,DATU SALIBO,4046,1908808000,cur:exact
2016,BARMM,MAGUINDANAO,DATU SAUDI AMPATUAN,11333,1908809000,cur:exact
2016,BARMM,MAGUINDANAO,DATU UNSAY,4043,1908810000,cur:exact
2016,BARMM,MAGUINDANAO,GEN S K PENDATUN,8134,1908811000,cur:exact
2016,BARMM,MAGUINDANAO,GUINDULUNGAN,677,1908812000,cur:exact
2016,BARMM,MAGUINDANAO,KABUNTALAN TUMBAO,7699,1908706000,old:stripped
2016,BARMM,MAGUINDANAO,MAMASAPANO,3623,1908813000,cur:exact
2016,BARMM,MAGUINDANAO,MANGUDADATU,8286,1908814000,cur:exact
2016,BARMM,MAGUINDANAO,MATANOG,7857,1908707000,cur:exact
2016,BARMM,MAGUINDANAO,NORTHERN KABUNTALAN,6071,1908708000,cur:exact
