id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,adminLevel,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,displacementReason,numberMales,numberFemales,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessmentType,operationStatus
,Typhoon Haiyan,Philippines (the),PHL,,,,,0,37443,2013-11-30T00:00:00,2013,11,1,Natural disaster,17087,20356,Not available,Not available,SA,Inactive
,Typhoon Haiyan,Philippines (the),PHL,,,,,0,22914,2013-12-31T00:00:00,2013,12,2,Natural disaster,11708,11206,Not available,Not available,SA,Inactive
,Typhoon Haiyan,Philippines (the),PHL,,,,,0,15750,2014-01-30T00:00:00,2014,1,3,Natural disaster,,,Not available,Not available,SA,Inactive
,Typhoon Haiyan,Philippines (the),PHL,,,,,0,24867,2014-04-30T00:00:00,2014,4,6,Natural disaster,,,Not available,Not available,BA,Inactive
,Typhoon Haiyan,Philippines (the),PHL,,,,,0,7696,2014-05-01T00:00:00,2014,5,7,Natural disaster,,,Not available,Not available,SA,Inactive
,Typhoon Haiyan,Philippines (the),PHL,,,,,0,13447,2014-06-01T00:00:00,2014,6,8,Natural disaster,,,Not available,Not available,SA,Inactive
,Typhoon Haiyan,Philippines (the),PHL,,,,,0,12925,2014-07-01T00:00:00,2014,7,9,Natural disaster,,,Not available,Not available,SA,Inactive
,Typhoon Haiyan,Philippines (the),PHL,,,,,0,9517,2014-08-01T00:00:00,2014,8,10,Natural disaster,,,Not available,Not available,SA,Inactive
,Typhoon Haiyan,Philippines (the),PHL,,,,,0,2972,2014-09-01T00:00:00,2014,9,11,Natural disaster,,,Not available,Not available,SA,Inactive
,Earthquakes in Mindanao,Philippines (the),PHL,,,,,0,3240,2019-11-30T00:00:00,2019,11,1,Natural disaster,,,Region XI,PH110000000,SA,Inactive
,Earthquakes in Mindanao,Philippines (the),PHL,,,,,0,18110,2019-11-30T00:00:00,2019,11,1,Natural disaster,,,Region XII,PH120000000,SA,Inactive
,Earthquakes in Mindanao,Philippines (the),PHL,,,,,0,4356,2019-11-30T00:00:00,2019,11,2,Natural disaster,,,Region XI,PH110000000,SA,Inactive
