"Geolocation","Place of Occurrence Both Sexes","Place of Occurrence Male","Place of Occurrence Female","Usual Residence Both Sexes","Usual Residence Male","Usual Residence Female"
"PHILIPPINES",1448522,753332,695190,1448522,753332,695190
"NATIONAL CAPITAL REGION (NCR)",180524,94107,86417,164002,85349,78653
"......City of Caloocan",13681,6993,6688,20234,10437,9797
"......City of Las Piñas",7239,3722,3517,7337,3752,3585
"......City of Makati",5120,2657,2463,5516,2867,2649
"......City of Malabon",2995,1518,1477,5072,2637,2435
"......City of Mandaluyong",3695,1952,1743,4572,2385,2187
"......City of Manila",46307,24292,22015,23896,12484,11412
"......City of Marikina",7772,4002,3770,5737,3004,2733
"......City of Muntinlupa",6250,3271,2979,6045,3185,2860
"......City of Navotas",2698,1379,1319,3651,1886,1765
"......City of Parañaque",6480,3364,3116,8108,4211,3897
"......Pasay City",4276,2229,2047,5018,2619,2399
"......City of Pasig",13118,6847,6271,10674,5500,5174
"......Quezon City",39347,20501,18846,34784,18050,16734
"......City of San Juan",1754,900,854,1260,646,614
"......City of Taguig",11721,6251,5470,12921,6882,6039
"......City of Valenzuela",7311,3830,3481,8489,4432,4057
"......Pateros",760,399,361,688,372,316
"CORDILLERA ADMINISTRATIVE REGION (CAR)",27087,14153,12934,25447,13335,12112
"....ABRA",2390,1227,1163,2819,1436,1383
"......Bangued (Capital)",2000,1029,971,533,262,271
"......Boliney",14,7,7,40,19,21
"......Bucay",42,21,21,229,116,113
"......Bucloc",4,2,2,22,14,8
"......Daguioman",2,2,0,17,10,7
"......Danglas",1,1,0,56,29,27
"......Dolores",57,28,29,155,80,75
"......La Paz",4,1,3,219,103,116
"......Lacub",10,7,3,27,16,11
"......Lagangilang",20,8,12,181,95,86
"......Lagayan",5,3,2,52,28,24
"......Langiden",2,2,0,34,13,21
"......Licuan-Baay (Licuan)",8,3,5,54,23,31
"......Luba",21,10,11,75,34,41
"......Malibcong",3,2,1,30,17,13
"......Manabo",11,6,5,124,56,68
"......Peñarrubia",28,13,15,97,52,45
"......Pidigan",6,4,2,125,72,53
"......Pilar",44,30,14,109,68,41
"......Sallapadan",3,2,1,55,31,24
"......San Isidro",0,0,0,59,31,28
"......San Juan",30,14,16,114,52,62
"......San Quintin",1,1,0,89,40,49
"......Tayum",12,4,8,136,71,65
"......Tineg",33,16,17,69,32,37
"......Tubo",22,8,14,61,35,26
"......Villaviciosa",7,3,4,57,37,20
"....APAYAO",3650,1843,1807,1898,983,915
"......Calanasan (Bayag)",50,22,28,156,82,74
"......Conner",806,400,406,501,262,239
"......Flora",99,48,51,242,110,132
"......Kabugao (Capital)",82,34,48,228,117,111
"......Luna",2521,1284,1237,325,162,163
"......Pudtol",65,38,27,243,143,100
"......Santa Marcela",27,17,10,203,107,96
"....BENGUET",4265,2237,2028,6338,3290,3048
"......Atok",357,198,159,267,154,113
"......Bakun",30,17,13,204,107,97
"......Bokod",209,98,111,194,93,101
"......Buguias",321,160,161,668,359,309
"......Itogon",30,13,17,772,397,375
"......Kabayan",33,17,16,217,108,109
"......Kapangan",103,65,38,213,112,101
"......Kibungan",68,32,36,268,140,128
"......La Trinidad (Capital)",3055,1603,1452,1991,1020,971
"......Mankayan",25,16,9,545,266,279
"......Sablan",1,0,1,125,73,52
"......Tuba",22,12,10,588,306,282
"......Tublay",11,6,5,286,155,131
"....IFUGAO",2480,1343,1137,3311,1769,1542
"......Aguinaldo",119,71,48,382,214,168
"......Alfonso Lista (Potia)",620,342,278,594,311,283
"......Asipulo",94,55,39,215,107,108
"......Banaue",133,64,69,357,189,168
"......Hingyon",13,5,8,132,70,62
"......Hungduan",66,35,31,137,75,62
"......Kiangan",70,31,39,280,136,144
"......Lagawe (Capital)",84,49,35,319,182,137
"......Lamut",996,524,472,432,227,205
"......Mayoyao",119,76,43,171,104,67
"......Tinoc",166,91,75,292,154,138
"....KALINGA",3840,2029,1811,3855,2024,1831
"......Balbalan",49,20,29,168,89,79
"......Lubuagan",72,32,40,149,73,76
"......Pasil",5,5,0,118,65,53
"......Pinukpuk",88,42,46,465,230,235
"......Rizal (Liwan)",252,151,101,327,194,133
"......City of Tabuk (Capital)",3334,1761,1573,2330,1230,1100
"......Tanudan",7,2,5,110,57,53
"......Tinglayan",33,16,17,188,86,102
"....MOUNTAIN PROVINCE",3365,1794,1571,2300,1221,1079
"......Barlig",11,6,5,45,22,23
"......Bauko",2009,1077,932,560,293,267
"......Besao",109,59,50,71,36,35
"......Bontoc (Capital)",742,390,352,325,167,158
"......Natonin",34,12,22,129,62,67
"......Paracelis",370,201,169,575,313,262
"......Sabangan",10,6,4,101,58,43
"......Sadanga",28,15,13,122,69,53
"......Sagada",46,24,22,138,71,67
"......Tadian",6,4,2,234,130,104
"....CITY OF BAGUIO",7097,3680,3417,4926,2612,2314
"REGION I (ILOCOS REGION)",67400,35082,32318,67988,35401,32587
"....ILOCOS NORTE",6859,3482,3377,7062,3603,3459
"......Adams",6,3,3,31,16,15
"......Bacarra",6,3,3,340,187,153
"......Badoc",22,11,11,411,217,194
"......Bangui",437,209,228,181,90,91
"......Banna (Espiritu)",19,7,12,209,109,100
"......City of Batac",3996,2034,1962,683,325,358
"......Burgos",1,1,0,107,53,54
"......Carasi",7,6,1,22,13,9
"......Currimao",2,2,0,152,87,65
"......Dingras",29,16,13,471,252,219
"......Dumalneg",0,0,0,44,21,23
"......City of Laoag (Capital)",1957,998,959,1312,654,658
"......Marcos",20,10,10,208,113,95
"......Nueva Era",16,7,9,128,66,62
"......Pagudpud",8,3,5,344,169,175
"......Paoay",0,0,0,283,135,148
"......Pasuquin",16,8,8,360,196,164
"......Piddig",44,23,21,260,128,132
"......Pinili",0,0,0,206,96,110
"......San Nicolas",204,107,97,443,224,219
"......Sarrat",5,3,2,213,118,95
"......Solsona",38,18,20,280,144,136
"......Vintar",26,13,13,374,190,184
"....ILOCOS SUR",7910,4160,3750,7909,4184,3725
"......Alilem",1,1,0,75,36,39
"......Banayoyo",1,1,0,89,50,39
"......Bantay",581,301,280,414,229,185
"......Burgos",0,0,0,133,60,73
"......Cabugao",197,108,89,485,266,219
"......City of Candon",1460,761,699,672,352,320
"......Caoayan",5,2,3,225,129,96
"......Cervantes",33,19,14,268,153,115
"......Galimuyod",2,1,1,97,48,49
"......Gregorio del Pilar (Concepcion)",3,1,2,41,25,16
"......Lidlidda",0,0,0,51,26,25
"......Magsingal",77,40,37,381,193,188
"......Nagbukel",1,0,1,48,26,22
"......Narvacan",1356,700,656,555,291,264
"......Quirino (Angkaki)",38,22,16,122,61,61
"......Salcedo (Baugen)",32,15,17,112,49,63
"......San Emilio",2,0,2,64,34,30
"......San Esteban",0,0,0,95,48,47
"......San Ildefonso",3,2,1,92,44,48
"......San Juan (Lapog)",0,0,0,257,122,135
"......San Vicente",7,2,5,137,73,64
"......Santa",18,8,10,170,90,80
"......Santa Catalina",5,1,4,142,89,53
"......Santa Cruz",11,3,8,494,264,230
"......Santa Lucia",179,96,83,303,166,137
"......Santa Maria",22,10,12,311,171,140
"......Santiago",3,2,1,168,83,85
