"Geolocation","Total Deaths Place of Usual Residence","Total Deaths Place of Occurrence","Maternal Deaths Place of Usual Residence","Maternal Deaths Place of Occurrence","Infant Deaths Place of Usual Residence","Infant Deaths Place of Occurrence"
"PHILIPPINES",701884,701884,1852,1852,20529,20529
"NATIONAL CAPITAL REGION (NCR)",84035,99600,223,291,2815,3643
"…...City of Caloocan",10231,8355,28,22,331,191
"…...City of Las Piñas",4089,4874,11,16,118,151
"…...City of Makati",1889,1191,3,1,34,11
"…...City of Malabon",2691,1795,8,2,76,29
"…...City of Mandaluyong",2355,2152,7,6,75,59
"…...City of Manila",12796,21196,26,64,362,1019
"…...City of Marikina",3668,4329,11,19,118,197
"…...City of Muntinlupa",3223,3946,7,7,117,118
"…...City of Navotas",1854,1160,3,1,62,27
"…...City of Parañaque",4091,3105,12,8,147,90
"…...Pasay City",2420,2250,11,10,80,55
"…...City of Pasig",4825,6183,13,34,216,301
"…...Quezon City",18393,28569,55,76,670,1069
"…...City of San Juan",861,992,0,0,20,20
"…...City of Taguig",5986,5727,19,16,243,188
"…...City of Valenzuela",4225,3511,7,8,135,114
"…...Pateros",438,265,2,1,11,4
"CORDILLERA ADMINISTRATIVE REGION (CAR)",10323,10377,32,20,208,195
"….ABRA",1916,1636,11,4,37,11
"…...Bangued",393,654,3,3,10,7
"…...Boliney",19,15,0,0,1,0
"…...Bucay",132,83,0,0,3,2
"…...Bucloc",20,13,0,0,0,0
"…...Daguioman",16,12,0,0,1,0
"…...Danglas",35,14,0,0,0,0
"…...Dolores",103,100,0,0,1,1
"…...La Paz",155,96,1,1,3,0
"…...Lacub",13,6,1,0,0,0
"…...Lagangilang",111,54,1,0,3,0
"…...Lagayan",42,27,1,0,0,0
"…...Langiden",22,7,0,0,0,0
"…...Licuan-Baay",32,16,0,0,1,0
"…...Luba",60,39,0,0,1,0
"…...Malibcong",24,12,0,0,0,0
"…...Manabo",98,69,0,0,1,0
"…...Peñarrubia",55,25,0,0,3,0
"…...Pidigan",101,62,1,0,3,0
"…...Pilar",71,51,1,0,4,0
"…...Sallapadan",47,34,1,0,0,0
"…...San Isidro",46,37,0,0,1,1
"…...San Juan",77,46,1,0,0,0
"…...San Quintin",36,18,0,0,0,0
"…...Tayum",117,75,0,0,1,0
"…...Tineg",17,10,0,0,0,0
"…...Tubo",31,23,0,0,0,0
"…...Villaviciosa",43,38,0,0,0,0
"….APAYAO",763,953,3,2,25,43
"…...Calanasan",49,25,0,0,3,2
"…...Conner",187,225,0,0,7,9
"…...Flora",122,73,0,0,3,1
"…...Kabugao",78,53,1,1,3,0
"…...Luna",153,463,2,1,4,30
"…...Pudtol",87,59,0,0,3,1
"…...Santa Marcela",87,55,0,0,2,0
"….BENGUET",2371,1920,3,0,43,20
"…...Atok",119,93,0,0,1,2
"…...Bakun",73,47,0,0,2,1
"…...Bokod",113,93,0,0,0,0
"…...Buguias",210,189,1,0,6,2
"…...Itogon",362,215,1,0,4,0
"…...Kabayan",95,68,0,0,2,0
"…...Kapangan",142,113,1,0,1,0
"…...Kibungan",90,59,0,0,1,0
"…...La Trinidad",576,696,0,0,16,14
"…...Mankayan",184,111,0,0,2,0
"…...Sablan",80,51,0,0,2,0
"…...Tuba",211,115,0,0,2,0
"…...Tublay",116,70,0,0,4,1
"….IFUGAO",1008,771,3,1,17,7
"…...Aguinaldo",72,53,1,0,3,1
"…...Alfonso Lista",186,157,0,0,5,2
"…...Asipulo",38,24,0,0,0,0
"…...Banaue",112,76,1,1,3,0
"…...Hingyon",67,42,0,0,0,0
"…...Hungduan",49,36,0,0,1,0
"…...Kiangan",91,56,0,0,2,1
"…...Lagawe",119,103,0,0,0,1
"…...Lamut",134,119,1,0,0,0
"…...Mayoyao",64,49,0,0,0,0
"…...Tinoc",76,56,0,0,3,2
"….KALINGA",1321,1150,4,2,21,13
"…...Balbalan",73,47,0,0,0,0
"…...Lubuagan",59,49,0,0,3,1
"…...Pasil",56,38,1,1,0,0
"…...Pinukpuk",157,110,1,0,1,0
"…...Rizal",106,80,0,0,2,0
"…...City of Tabuk",769,760,1,1,13,10
"…...Tanudan",31,19,1,0,0,0
"…...Tinglayan",70,47,0,0,2,2
"….MOUNTAIN PROVINCE",976,935,4,1,24,28
