gid_1,name_1
PHL.1_1,Abra
PHL.2_1,AgusandelNorte
PHL.3_1,AgusandelSur
PHL.4_1,Aklan
PHL.5_1,Albay
PHL.6_1,Antique
PHL.7_1,Apayao
PHL.8_1,Aurora
PHL.9_1,Basilan
PHL.10_1,Bataan
PHL.11_1,Batanes
PHL.12_1,Batangas
PHL.13_1,Benguet
PHL.14_1,Biliran
PHL.15_1,Bohol
PHL.16_1,Bukidnon
PHL.17_1,Bulacan
PHL.18_1,Cagayan
PHL.19_1,CamarinesNorte
PHL.20_1,CamarinesSur
PHL.21_1,Camiguin
PHL.22_1,Capiz
PHL.23_1,Catanduanes
PHL.24_1,Cavite
PHL.25_1,Cebu
PHL.26_1,CompostelaValley
PHL.27_1,DavaodelNorte
PHL.28_1,DavaodelSur
PHL.29_1,DavaoOriental
PHL.30_1,DinagatIslands
PHL.31_1,EasternSamar
PHL.32_1,Guimaras
PHL.33_1,Ifugao
PHL.34_1,IlocosNorte
PHL.35_1,IlocosSur
PHL.36_1,Iloilo
PHL.37_1,Isabela
PHL.38_1,Kalinga
PHL.39_1,LaUnion
PHL.40_1,Laguna
PHL.41_1,LanaodelNorte
PHL.42_1,LanaodelSur
PHL.43_1,Leyte
PHL.44_1,Maguindanao
PHL.45_1,Marinduque
PHL.46_1,Masbate
PHL.47_1,MetropolitanManila
PHL.48_1,MisamisOccidental
PHL.49_1,MisamisOriental
PHL.50_1,MountainProvince
PHL.51_1,NegrosOccidental
PHL.52_1,NegrosOriental
PHL.53_1,NorthCotabato
PHL.54_1,NorthernSamar
PHL.55_1,NuevaEcija
PHL.56_1,NuevaVizcaya
PHL.57_1,OccidentalMindoro
PHL.58_1,OrientalMindoro
PHL.59_1,Palawan
PHL.60_1,Pampanga
PHL.61_1,Pangasinan
PHL.62_1,Quezon
PHL.63_1,Quirino
PHL.64_1,Rizal
PHL.65_1,Romblon
PHL.66_1,Samar
PHL.67_1,Sarangani
PHL.68_1,Siquijor
PHL.69_1,Sorsogon
PHL.70_1,SouthCotabato
PHL.71_1,SouthernLeyte
PHL.72_1,SultanKudarat
PHL.73_1,Sulu
PHL.74_1,SurigaodelNorte
PHL.75_1,SurigaodelSur
PHL.76_1,Tarlac
PHL.77_1,Tawi-Tawi
PHL.78_1,Zambales
PHL.79_1,ZamboangadelNorte
PHL.80_1,ZamboangadelSur
PHL.81_1,ZamboangaSibugay
