user_country,friend_country,user_region,friend_region,scaled_sci
PH,PH,PHL.72_1,PHL.11_1,3629
PH,PH,PHL.11_1,PHL.72_1,3629
PH,PH,PHL.28_1,PHL.18_1,4041
PH,PH,PHL.18_1,PHL.28_1,4041
PH,PH,PHL.64_1,PHL.16_1,6313
PH,PH,PHL.16_1,PHL.64_1,6313
PH,PH,PHL.51_1,PHL.26_1,9315
PH,PH,PHL.26_1,PHL.51_1,9315
PH,PH,PHL.69_1,PHL.33_1,4032
PH,PH,PHL.33_1,PHL.69_1,4032
PH,PH,PHL.52_1,PHL.40_1,7826
PH,PH,PHL.40_1,PHL.52_1,7826
PH,PH,PHL.50_1,PHL.45_1,5969
PH,PH,PHL.45_1,PHL.50_1,5969
PH,PH,PHL.58_1,PHL.20_1,10021
PH,PH,PHL.20_1,PHL.58_1,10021
PH,PH,PHL.4_1,PHL.21_1,6330
PH,PH,PHL.21_1,PHL.4_1,6330
PH,PH,PHL.54_1,PHL.51_1,7537
PH,PH,PHL.51_1,PHL.54_1,7537
PH,PH,PHL.45_1,PHL.32_1,6050
PH,PH,PHL.32_1,PHL.45_1,6050
PH,PH,PHL.20_1,PHL.1_1,5480
PH,PH,PHL.1_1,PHL.20_1,5480
PH,PH,PHL.38_1,PHL.1_1,206318
PH,PH,PHL.1_1,PHL.38_1,206318
PH,PH,PHL.25_1,PHL.21_1,20588
PH,PH,PHL.21_1,PHL.25_1,20588
PH,PH,PHL.66_1,PHL.63_1,4963
PH,PH,PHL.63_1,PHL.66_1,4963
PH,PH,PHL.77_1,PHL.77_1,9035058
PH,PH,PHL.53_1,PHL.23_1,5958
PH,PH,PHL.23_1,PHL.53_1,5958
PH,PH,PHL.72_1,PHL.46_1,9405
PH,PH,PHL.46_1,PHL.72_1,9405
PH,PH,PHL.7_1,PHL.21_1,4488
PH,PH,PHL.21_1,PHL.7_1,4488
PH,PH,PHL.4_1,PHL.44_1,6020
PH,PH,PHL.44_1,PHL.4_1,6020
PH,PH,PHL.72_1,PHL.44_1,291739
PH,PH,PHL.44_1,PHL.72_1,291739
PH,PH,PHL.64_1,PHL.43_1,12551
PH,PH,PHL.43_1,PHL.64_1,12551
PH,PH,PHL.48_1,PHL.32_1,7891
PH,PH,PHL.32_1,PHL.48_1,7891
PH,PH,PHL.41_1,PHL.2_1,22107
PH,PH,PHL.2_1,PHL.41_1,22107
PH,PH,PHL.65_1,PHL.61_1,7405
PH,PH,PHL.61_1,PHL.65_1,7405
PH,PH,PHL.48_1,PHL.13_1,4580
PH,PH,PHL.13_1,PHL.48_1,4580
PH,PH,PHL.77_1,PHL.18_1,4536
PH,PH,PHL.18_1,PHL.77_1,4536
PH,PH,PHL.53_1,PHL.16_1,56160
PH,PH,PHL.16_1,PHL.53_1,56160
PH,PH,PHL.70_1,PHL.69_1,5541
PH,PH,PHL.69_1,PHL.70_1,5541
PH,PH,PHL.53_1,PHL.20_1,6588
PH,PH,PHL.20_1,PHL.53_1,6588
PH,PH,PHL.60_1,PHL.3_1,5884
PH,PH,PHL.3_1,PHL.60_1,5884
PH,PH,PHL.40_1,PHL.39_1,8241
PH,PH,PHL.39_1,PHL.40_1,8241
PH,PH,PHL.77_1,PHL.25_1,5158
PH,PH,PHL.25_1,PHL.77_1,5158
